x,y,FRE_PROVINCE_NAME,HEATING_DEGREE_DAYS,STATION_NAME,NORMAL_SUNSHINE,SNOW_ON_GROUND_LAST_DAY,NORMAL_PRECIPITATION,ID,DAYS_WITH_VALID_MEAN_TEMP,DAYS_WITH_VALID_SUNSHINE,LOCAL_DATE,MIN_TEMPERATURE,NORMAL_SNOWFALL,ENG_PROVINCE_NAME,LATITUDE,LAST_UPDATED,DAYS_WITH_VALID_SNOWFALL,DAYS_WITH_VALID_PRECIP,LOCAL_MONTH,MEAN_TEMPERATURE,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS,NORMAL_MEAN_TEMPERATURE,PROVINCE_CODE,LOCAL_YEAR,TOTAL_SNOWFALL,BRIGHT_SUNSHINE,DAYS_WITH_VALID_MAX_TEMP,DAYS_WITH_PRECIP_GE_1MM,CLIMATE_IDENTIFIER,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,LONGITUDE
-73.18333333333334,46.05,QUÉBEC,272.8,BERTHIERVILLE,,0,,5208.1985.10,31,31,1985-10,-3.5,,QUEBEC,46.050,2014-07-31 11:52:11,31,31,10,9.2,80.5,0,,QC,1985,0,155.1,31,10,7010720,31,19,-73.183
-73.18333333333334,46.05,QUÉBEC,527.1,BERTHIERVILLE,,9,,5208.1985.11,30,30,1985-11,-16,,QUEBEC,46.050,2014-07-31 11:52:11,30,30,11,0.43,90,0,,QC,1985,21.8,84.4,30,10,7010720,30,17,-73.183
-73.18333333333334,46.05,QUÉBEC,842.9,BERTHIERVILLE,,26,,5208.1985.12,31,31,1985-12,-32,,QUEBEC,46.050,2014-07-31 11:52:11,31,31,12,-9.19032258064516,88.6,0,,QC,1985,61.5,41.6,31,13,7010720,31,4,-73.183
-73.18333333333334,46.05,QUÉBEC,873.6,BERTHIERVILLE,,56,,5208.1986.1,31,31,1986-01,-27,,QUEBEC,46.050,2014-07-31 11:52:11,31,31,1,-10.180645161290322,116.3,0,,QC,1986,87.9,86,31,15,7010720,31,6.5,-73.183
-73.18333333333334,46.05,QUÉBEC,777.1,BERTHIERVILLE,,58,,5208.1986.2,28,28,1986-02,-27,,QUEBEC,46.050,2014-07-31 11:52:11,28,28,2,-9.753571428571428,23.4,0,,QC,1986,23.4,106.7,28,6,7010720,28,3,-73.183
-73.18333333333334,46.05,QUÉBEC,638.3,BERTHIERVILLE,,4,,5208.1986.3,31,31,1986-03,-23,,QUEBEC,46.050,2014-07-31 11:52:11,31,31,3,-2.5903225806451613,44.3,0,,QC,1986,21.1,138.5,31,11,7010720,31,13,-73.183
-73.18333333333334,46.05,QUÉBEC,295.3,BERTHIERVILLE,,0,,5208.1986.4,30,30,1986-04,-3.5,,QUEBEC,46.050,2014-07-31 11:52:11,30,30,4,8.156666666666666,52.9,0,,QC,1986,0,212.5,30,10,7010720,30,22,-73.183
-73.18333333333334,46.05,QUÉBEC,162.7,BERTHIERVILLE,,0,,5208.1986.5,31,31,1986-05,-3,,QUEBEC,46.050,2014-07-31 11:52:11,31,31,5,13.170967741935485,115.8,13,,QC,1986,0,200.1,31,18,7010720,31,32,-73.183
-73.18333333333334,46.05,QUÉBEC,86.4,BERTHIERVILLE,,0,,5208.1986.6,30,30,1986-06,1,,QUEBEC,46.050,2014-07-31 11:52:11,30,30,6,15.826666666666666,100.9,21.2,,QC,1986,0,238.9,30,13,7010720,30,28.5,-73.183
-73.18333333333334,46.05,QUÉBEC,24,BERTHIERVILLE,,0,,5208.1986.7,31,31,1986-07,7,,QUEBEC,46.050,2014-07-31 11:52:11,31,31,7,19.258064516129032,95.1,63,,QC,1986,0,223.8,31,9,7010720,31,32.5,-73.183
