x,y,FRE_PROVINCE_NAME,HEATING_DEGREE_DAYS,STATION_NAME,NORMAL_SUNSHINE,SNOW_ON_GROUND_LAST_DAY,NORMAL_PRECIPITATION,ID,DAYS_WITH_VALID_MEAN_TEMP,DAYS_WITH_VALID_SUNSHINE,LOCAL_DATE,MIN_TEMPERATURE,NORMAL_SNOWFALL,ENG_PROVINCE_NAME,LATITUDE,LAST_UPDATED,DAYS_WITH_VALID_SNOWFALL,DAYS_WITH_VALID_PRECIP,LOCAL_MONTH,MEAN_TEMPERATURE,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS,NORMAL_MEAN_TEMPERATURE,PROVINCE_CODE,LOCAL_YEAR,TOTAL_SNOWFALL,BRIGHT_SUNSHINE,DAYS_WITH_VALID_MAX_TEMP,DAYS_WITH_PRECIP_GE_1MM,CLIMATE_IDENTIFIER,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,LONGITUDE
-105.96666666666667,49.733333333333334,SASKATCHEWAN,702.5,ASSINIBOIA,,,18.21,3070.1977.12,22,,1977-12,-40.6,18.04,SASKATCHEWAN,49.733,2014-07-31 11:50:32,31,31,12,-13.931818181818182,41.3,0,-11.08,SK,1977,38.2,,22,9,4020280,23,3.9,-105.967
-105.96666666666667,49.733333333333334,SASKATCHEWAN,1163,ASSINIBOIA,,,16.34,3070.1978.1,31,,1978-01,-36.7,16.07,SASKATCHEWAN,49.733,2014-07-31 11:50:32,31,31,1,-19.516129032258064,15.8,0,-11.55,SK,1978,15.8,,31,4,4020280,31,-0.6,-105.967
-105.96666666666667,49.733333333333334,SASKATCHEWAN,902,ASSINIBOIA,,,10.05,3070.1978.2,28,,1978-02,-31.7,9.81,SASKATCHEWAN,49.733,2014-07-31 11:50:32,28,28,2,-14.214285714285714,15.3,0,-8.79,SK,1978,15.3,,28,7,4020280,28,2.8,-105.967
-105.96666666666667,49.733333333333334,SASKATCHEWAN,399.5,ASSINIBOIA,,,22.73,3070.1978.3,21,,1978-03,-29.4,18.56,SASKATCHEWAN,49.733,2014-07-31 11:50:32,31,31,3,-1.0238095238095237,6.6,0,-2.38,SK,1978,5.3,,22,3,4020280,22,20,-105.967
-105.96666666666667,49.733333333333334,SASKATCHEWAN,378.9,ASSINIBOIA,,,17.4,3070.1978.4,29,,1978-04,-6.7,3.83,SASKATCHEWAN,49.733,2014-07-31 11:50:32,30,30,4,4.93448275862069,20,0,5.08,SK,1978,5.6,,30,9,4020280,29,22.8,-105.967
-105.96666666666667,49.733333333333334,SASKATCHEWAN,204.1,ASSINIBOIA,,,52.15,3070.1978.5,31,,1978-05,-1.1,3.21,SASKATCHEWAN,49.733,2014-07-31 11:50:32,31,31,5,11.574193548387097,82,4.9,11.45,SK,1978,0,,31,13,4020280,31,32.8,-105.967
-105.96666666666667,49.733333333333334,SASKATCHEWAN,65.1,ASSINIBOIA,,,66.46,3070.1978.6,30,,1978-06,1.7,,SASKATCHEWAN,49.733,2014-07-31 11:50:32,30,30,6,16.756666666666668,71.1,27.8,16.39,SK,1978,0,,30,14,4020280,30,30.6,-105.967
-105.96666666666667,49.733333333333334,SASKATCHEWAN,41.6,ASSINIBOIA,,,72.46,3070.1978.7,31,,1978-07,6.1,,SASKATCHEWAN,49.733,2014-07-31 11:50:32,31,31,7,17.858064516129033,83.5,37.2,18.48,SK,1978,0,,31,7,4020280,31,31.7,-105.967
-105.96666666666667,49.733333333333334,SASKATCHEWAN,33.1,ASSINIBOIA,,,41.85,3070.1978.8,12,,1978-08,1.1,,SASKATCHEWAN,49.733,2014-07-31 11:50:32,31,13,8,15.35,14,1.3,18.02,SK,1978,0,,12,2,4020280,13,26.7,-105.967
-105.96666666666667,49.733333333333334,SASKATCHEWAN,152.3,ASSINIBOIA,,,36.15,3070.1978.9,30,,1978-09,0,3.02,SASKATCHEWAN,49.733,2024-11-04 11:25:53,30,30,9,13.5,113.1,17.3,11.59,SK,1978,0,,30,8,4020280,30,35.6,-105.967
-105.96666666666667,49.733333333333334,SASKATCHEWAN,340.6,ASSINIBOIA,,,19.71,3070.1978.10,31,,1978-10,-6.1,5.98,SASKATCHEWAN,49.733,2014-07-31 11:50:32,31,31,10,7.012903225806451,1.7,0,5.26,SK,1978,0,,31,0,4020280,31,22.8,-105.967
-105.96666666666667,49.733333333333334,SASKATCHEWAN,741,ASSINIBOIA,,,17.52,3070.1978.11,29,,1978-11,-31.7,15.19,SASKATCHEWAN,49.733,2014-07-31 11:50:32,30,30,11,-7.551724137931035,27.1,0,-4.53,SK,1978,23.8,,29,6,4020280,29,20.6,-105.967
-105.96666666666667,49.733333333333334,SASKATCHEWAN,954.5,ASSINIBOIA,,,18.21,3070.1978.12,30,,1978-12,-32.2,18.04,SASKATCHEWAN,49.733,2014-07-31 11:50:32,31,31,12,-13.816666666666666,49.3,0,-11.08,SK,1978,49.3,,30,10,4020280,31,2.2,-105.967
-105.96666666666667,49.733333333333334,SASKATCHEWAN,1172.1,ASSINIBOIA,,,16.34,3070.1979.1,31,,1979-01,-33.3,16.07,SASKATCHEWAN,49.733,2014-07-31 11:50:32,31,31,1,-19.809677419354838,17.9,0,-11.55,SK,1979,17.9,,31,7,4020280,31,-3.9,-105.967
-105.96666666666667,49.733333333333334,SASKATCHEWAN,1020.5,ASSINIBOIA,,,10.05,3070.1979.2,28,,1979-02,-35.6,9.81,SASKATCHEWAN,49.733,2014-07-31 11:50:32,28,28,2,-18.446428571428573,18.7,0,-8.79,SK,1979,18.7,,28,10,4020280,28,3.9,-105.967
-105.96666666666667,49.733333333333334,SASKATCHEWAN,388.8,ASSINIBOIA,,,22.73,3070.1979.3,18,,1979-03,-26.1,18.56,SASKATCHEWAN,49.733,2014-07-31 11:50:32,31,31,3,-3.6,3.1,0,-2.38,SK,1979,3.1,,18,1,4020280,18,13.3,-105.967
-105.96666666666667,49.733333333333334,SASKATCHEWAN,478.6,ASSINIBOIA,,,17.4,3070.1979.4,27,,1979-04,-20.6,3.83,SASKATCHEWAN,49.733,2014-07-31 11:50:32,30,30,4,0.2740740740740741,55.8,0,5.08,SK,1979,32.8,,30,10,4020280,27,13.9,-105.967
-105.96666666666667,49.733333333333334,SASKATCHEWAN,304.1,ASSINIBOIA,,,52.15,3070.1979.5,29,,1979-05,-5.6,3.21,SASKATCHEWAN,49.733,2014-07-31 11:50:32,31,31,5,7.527586206896552,79.8,0.4,11.45,SK,1979,58.3,,29,13,4020280,30,26.7,-105.967
-105.96666666666667,49.733333333333334,SASKATCHEWAN,61.8,ASSINIBOIA,,,66.46,3070.1979.6,30,,1979-06,0,,SASKATCHEWAN,49.733,2014-07-31 11:50:32,30,30,6,16.626666666666665,35.9,20.6,16.39,SK,1979,0,,30,6,4020280,30,33.3,-105.967
-105.96666666666667,49.733333333333334,SASKATCHEWAN,6.5,ASSINIBOIA,,,72.46,3070.1979.7,18,,1979-07,7.8,,SASKATCHEWAN,49.733,2014-07-31 11:50:32,31,31,7,20.416666666666668,1.7,50,18.48,SK,1979,0,,18,0,4020280,18,32.2,-105.967
-105.96666666666667,49.733333333333334,SASKATCHEWAN,24.6,ASSINIBOIA,,,41.85,3070.1979.8,18,,1979-08,2.2,,SASKATCHEWAN,49.733,2014-07-31 11:50:32,31,31,8,17.97222222222222,33,24.1,18.02,SK,1979,0,,19,3,4020280,19,32.8,-105.967
-105.96666666666667,49.733333333333334,SASKATCHEWAN,118.4,ASSINIBOIA,,,36.15,3070.1979.9,28,,1979-09,-0.6,3.02,SASKATCHEWAN,49.733,2014-07-31 11:50:32,30,30,9,14.125,24.2,9.9,11.59,SK,1979,0,,29,5,4020280,29,32.8,-105.967
