x,y,MEAN_TEMPERATURE,DAYS_WITH_PRECIP_GE_1MM,DAYS_WITH_VALID_PRECIP,DAYS_WITH_VALID_MIN_TEMP,LONGITUDE,LATITUDE,LOCAL_DATE,DAYS_WITH_VALID_MAX_TEMP,MIN_TEMPERATURE,TOTAL_SNOWFALL,NORMAL_SNOWFALL,CLIMATE_IDENTIFIER,LOCAL_YEAR,NORMAL_PRECIPITATION,ID,DAYS_WITH_VALID_SNOWFALL,DAYS_WITH_VALID_SUNSHINE,STATION_NAME,ENG_PROVINCE_NAME,NORMAL_SUNSHINE,DAYS_WITH_VALID_MEAN_TEMP,COOLING_DEGREE_DAYS,LOCAL_MONTH,NORMAL_MEAN_TEMPERATURE,LAST_UPDATED,SNOW_ON_GROUND_LAST_DAY,BRIGHT_SUNSHINE,PROVINCE_CODE,HEATING_DEGREE_DAYS,FRE_PROVINCE_NAME,MAX_TEMPERATURE,TOTAL_PRECIPITATION
-122.98666666666666,49.28611111111111,,5,31,0,-122.987,49.286,1971-07,0,,0,,1101146,1971,62.37,724.1971.7,31,,BURNABY CAPITOL HILL,BRITISH COLUMBIA,,0,,7,,2014-07-31 11:48:20,,,BC,,COLOMBIE-BRITANNIQUE,,29
-122.98666666666666,49.28611111111111,,5,31,0,-122.987,49.286,1971-08,0,,0,,1101146,1971,64.83,724.1971.8,31,,BURNABY CAPITOL HILL,BRITISH COLUMBIA,,0,,8,,2014-07-31 11:48:20,,,BC,,COLOMBIE-BRITANNIQUE,,43.5
-122.98666666666666,49.28611111111111,,11,30,0,-122.987,49.286,1971-09,0,,0,,1101146,1971,81.22,724.1971.9,30,,BURNABY CAPITOL HILL,BRITISH COLUMBIA,,0,,9,,2014-07-31 11:48:20,,,BC,,COLOMBIE-BRITANNIQUE,,119.7
-122.98666666666666,49.28611111111111,,14,31,0,-122.987,49.286,1971-10,0,,1.3,0.17,1101146,1971,202.3,724.1971.10,31,,BURNABY CAPITOL HILL,BRITISH COLUMBIA,,0,,10,,2014-07-31 11:48:20,,,BC,,COLOMBIE-BRITANNIQUE,,301.9
-122.98666666666666,49.28611111111111,,20,30,0,-122.987,49.286,1971-11,0,,0,4.07,1101146,1971,308.08,724.1971.11,30,,BURNABY CAPITOL HILL,BRITISH COLUMBIA,,0,,11,,2014-07-31 11:48:20,,,BC,,COLOMBIE-BRITANNIQUE,,309.8
-122.98666666666666,49.28611111111111,,22,31,0,-122.987,49.286,1971-12,0,,131.9,19.33,1101146,1971,250.2,724.1971.12,31,,BURNABY CAPITOL HILL,BRITISH COLUMBIA,,0,,12,,2014-07-31 11:48:20,,,BC,,COLOMBIE-BRITANNIQUE,,280.8
-122.98666666666666,49.28611111111111,,17,31,0,-122.987,49.286,1972-01,0,,51.2,18.82,1101146,1972,261.12,724.1972.1,31,,BURNABY CAPITOL HILL,BRITISH COLUMBIA,,0,,1,,2014-07-31 11:48:20,,,BC,,COLOMBIE-BRITANNIQUE,,184.4
-122.98666666666666,49.28611111111111,,19,29,0,-122.987,49.286,1972-02,0,,5.6,15.1,1101146,1972,189.28,724.1972.2,29,,BURNABY CAPITOL HILL,BRITISH COLUMBIA,,0,,2,,2014-07-31 11:48:20,,,BC,,COLOMBIE-BRITANNIQUE,,253.4
-122.98666666666666,49.28611111111111,,19,31,0,-122.987,49.286,1972-03,0,,1,3.78,1101146,1972,172.03,724.1972.3,31,,BURNABY CAPITOL HILL,BRITISH COLUMBIA,,0,,3,,2014-07-31 11:48:20,,,BC,,COLOMBIE-BRITANNIQUE,,301.2
-122.98666666666666,49.28611111111111,,17,30,0,-122.987,49.286,1972-04,0,,14,1.31,1101146,1972,145.71,724.1972.4,30,,BURNABY CAPITOL HILL,BRITISH COLUMBIA,,0,,4,,2014-07-31 11:48:20,,,BC,,COLOMBIE-BRITANNIQUE,,172.2
-122.98666666666666,49.28611111111111,,8,31,0,-122.987,49.286,1972-05,0,,0,,1101146,1972,111.73,724.1972.5,31,,BURNABY CAPITOL HILL,BRITISH COLUMBIA,,0,,5,,2014-07-31 11:48:20,,,BC,,COLOMBIE-BRITANNIQUE,,60.5
-122.98666666666666,49.28611111111111,,10,30,0,-122.987,49.286,1972-06,0,,0,,1101146,1972,97.3,724.1972.6,30,,BURNABY CAPITOL HILL,BRITISH COLUMBIA,,0,,6,,2014-07-31 11:48:20,,,BC,,COLOMBIE-BRITANNIQUE,,65.6
-122.98666666666666,49.28611111111111,,6,31,0,-122.987,49.286,1972-07,0,,0,,1101146,1972,62.37,724.1972.7,31,,BURNABY CAPITOL HILL,BRITISH COLUMBIA,,0,,7,,2014-07-31 11:48:20,,,BC,,COLOMBIE-BRITANNIQUE,,151
-122.98666666666666,49.28611111111111,,4,31,0,-122.987,49.286,1972-08,0,,0,,1101146,1972,64.83,724.1972.8,31,,BURNABY CAPITOL HILL,BRITISH COLUMBIA,,0,,8,,2014-07-31 11:48:20,,,BC,,COLOMBIE-BRITANNIQUE,,27.7
-122.98666666666666,49.28611111111111,,10,30,0,-122.987,49.286,1972-09,0,,0,,1101146,1972,81.22,724.1972.9,30,,BURNABY CAPITOL HILL,BRITISH COLUMBIA,,0,,9,,2014-07-31 11:48:20,,,BC,,COLOMBIE-BRITANNIQUE,,106.3
-122.98666666666666,49.28611111111111,,7,31,0,-122.987,49.286,1972-10,0,,0,0.17,1101146,1972,202.3,724.1972.10,31,,BURNABY CAPITOL HILL,BRITISH COLUMBIA,,0,,10,,2014-07-31 11:48:20,,,BC,,COLOMBIE-BRITANNIQUE,,67.8
-122.98666666666666,49.28611111111111,,16,30,0,-122.987,49.286,1972-11,0,,0,4.07,1101146,1972,308.08,724.1972.11,30,,BURNABY CAPITOL HILL,BRITISH COLUMBIA,,0,,11,,2014-07-31 11:48:20,,,BC,,COLOMBIE-BRITANNIQUE,,252.1
-122.98666666666666,49.28611111111111,,20,31,0,-122.987,49.286,1972-12,0,,28.6,19.33,1101146,1972,250.2,724.1972.12,31,,BURNABY CAPITOL HILL,BRITISH COLUMBIA,,0,,12,,2014-07-31 11:48:20,,,BC,,COLOMBIE-BRITANNIQUE,,471.9
-122.98666666666666,49.28611111111111,,17,31,0,-122.987,49.286,1973-01,0,,15.8,18.82,1101146,1973,261.12,724.1973.1,31,,BURNABY CAPITOL HILL,BRITISH COLUMBIA,,0,,1,,2014-07-31 11:48:20,,,BC,,COLOMBIE-BRITANNIQUE,,267.4
-122.98666666666666,49.28611111111111,,14,28,0,-122.987,49.286,1973-02,0,,1.3,15.1,1101146,1973,189.28,724.1973.2,28,,BURNABY CAPITOL HILL,BRITISH COLUMBIA,,0,,2,,2014-07-31 11:48:20,,,BC,,COLOMBIE-BRITANNIQUE,,125.3
-122.98666666666666,49.28611111111111,,17,31,0,-122.987,49.286,1973-03,0,,0,3.78,1101146,1973,172.03,724.1973.3,31,,BURNABY CAPITOL HILL,BRITISH COLUMBIA,,0,,3,,2014-07-31 11:48:20,,,BC,,COLOMBIE-BRITANNIQUE,,139.9
