x,y,DAYS_WITH_VALID_SUNSHINE,FRE_PROVINCE_NAME,CLIMATE_IDENTIFIER,HEATING_DEGREE_DAYS,TOTAL_PRECIPITATION,DAYS_WITH_VALID_PRECIP,ENG_PROVINCE_NAME,LOCAL_YEAR,PROVINCE_CODE,DAYS_WITH_PRECIP_GE_1MM,SNOW_ON_GROUND_LAST_DAY,DAYS_WITH_VALID_MAX_TEMP,TOTAL_SNOWFALL,NORMAL_SNOWFALL,NORMAL_SUNSHINE,BRIGHT_SUNSHINE,MEAN_TEMPERATURE,LOCAL_MONTH,ID,LATITUDE,NORMAL_MEAN_TEMPERATURE,NORMAL_PRECIPITATION,STATION_NAME,COOLING_DEGREE_DAYS,DAYS_WITH_VALID_MEAN_TEMP,LAST_UPDATED,DAYS_WITH_VALID_MIN_TEMP,DAYS_WITH_VALID_SNOWFALL,LONGITUDE,LOCAL_DATE,MAX_TEMPERATURE,MIN_TEMPERATURE
-140.8675,62.41027777777778,,YUKON,2100160,1210.3,3.3,28,YUKON TERRITORY,1975,YT,1,38,28,3.1,13.94,,,-25.225,2,1518.1975.2,62.410,-19.86,13.94,BEAVER CREEK A,0,28,2022-05-27 10:38:09,28,28,-140.868,1975-02,0,-50
-140.8675,62.41027777777778,,YUKON,2100160,990.5,2.1,31,YUKON TERRITORY,1975,YT,1,10,31,5.1,12.9,,,-13.951612903225806,3,1518.1975.3,62.410,-12.33,12.9,BEAVER CREEK A,0,31,2022-05-27 11:19:39,31,31,-140.868,1975-03,4.4,-35
-140.8675,62.41027777777778,,YUKON,2100160,623.6,41.4,30,YUKON TERRITORY,1975,YT,8,0,30,55.8,7.47,,,-2.7866666666666666,4,1518.1975.4,62.410,-1.27,8.84,BEAVER CREEK A,0,30,2022-05-27 11:05:26,30,30,-140.868,1975-04,12.2,-31.1
-140.8675,62.41027777777778,,YUKON,2100160,367.2,68.8,31,YUKON TERRITORY,1975,YT,11,0,31,1,4.11,,,6.15483870967742,5,1518.1975.5,62.410,6.64,39.69,BEAVER CREEK A,0,31,2022-05-27 11:23:24,31,31,-140.868,1975-05,22.8,-7.8
-140.8675,62.41027777777778,,YUKON,2100160,208.5,72,30,YUKON TERRITORY,1975,YT,8,0,30,0,,,,11.053333333333333,6,1518.1975.6,62.410,12.36,72,BEAVER CREEK A,0.1,30,2022-05-27 11:30:52,30,30,-140.868,1975-06,30,-2.8
-140.8675,62.41027777777778,,YUKON,2100160,139.7,116.5,31,YUKON TERRITORY,1975,YT,13,0,31,0,,,,13.516129032258064,7,1518.1975.7,62.410,14.08,101.25,BEAVER CREEK A,0.7,31,2022-05-27 11:38:51,31,31,-140.868,1975-07,28.3,0.6
-140.8675,62.41027777777778,,YUKON,2100160,239.5,73.8,31,YUKON TERRITORY,1975,YT,15,0,31,0,0.39,,,10.274193548387096,8,1518.1975.8,62.410,11.34,57.08,BEAVER CREEK A,0,31,2022-05-27 11:35:18,31,31,-140.868,1975-08,23.3,-5.6
-140.8675,62.41027777777778,,YUKON,2100160,368.8,39.2,30,YUKON TERRITORY,1975,YT,6,0,30,6.9,9.14,,,5.706666666666667,9,1518.1975.9,62.410,4.62,36.89,BEAVER CREEK A,0,30,2022-05-27 11:09:18,30,30,-140.868,1975-09,21.7,-4.4
-140.8675,62.41027777777778,,YUKON,2100160,761.4,45.7,31,YUKON TERRITORY,1975,YT,14,33,31,47.1,24.1,,,-6.561290322580645,10,1518.1975.10,62.410,-6.21,28.08,BEAVER CREEK A,0,31,2022-05-27 11:01:57,31,31,-140.868,1975-10,10.6,-37.2
-140.8675,62.41027777777778,,YUKON,2100160,1251.2,13.9,30,YUKON TERRITORY,1975,YT,6,41,30,22.9,19.21,,,-23.706666666666667,11,1518.1975.11,62.410,-18.98,19.21,BEAVER CREEK A,0,30,2022-05-27 11:23:17,30,30,-140.868,1975-11,-5.6,-41.1
-140.8675,62.41027777777778,,YUKON,2100160,1520.7,10.2,31,YUKON TERRITORY,1975,YT,4,38,31,10.9,12.81,,,-31.05483870967742,12,1518.1975.12,62.410,-23.58,13.53,BEAVER CREEK A,0,31,2022-05-27 11:23:17,31,31,-140.868,1975-12,1.1,-52.8
-140.8675,62.41027777777778,,YUKON,2100160,1363.4,9.4,31,YUKON TERRITORY,1976,YT,5,46,31,13.4,13.85,,,-25.980645161290322,1,1518.1976.1,62.410,-25.21,13.85,BEAVER CREEK A,0,31,2022-05-27 11:35:10,31,31,-140.868,1976-01,3.9,-47.2
-140.8675,62.41027777777778,,YUKON,2100160,1240.2,6.2,29,YUKON TERRITORY,1976,YT,2,46,29,8.2,13.94,,,-24.76551724137931,2,1518.1976.2,62.410,-19.86,13.94,BEAVER CREEK A,0,29,2022-05-27 11:38:46,29,29,-140.868,1976-02,-1.1,-42.8
