x,y,LAST_UPDATED,NORMAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,DAYS_WITH_VALID_MIN_TEMP,MEAN_TEMPERATURE,CLIMATE_IDENTIFIER,ENG_PROVINCE_NAME,DAYS_WITH_VALID_MAX_TEMP,PROVINCE_CODE,SNOW_ON_GROUND_LAST_DAY,MIN_TEMPERATURE,COOLING_DEGREE_DAYS,TOTAL_PRECIPITATION,LATITUDE,STATION_NAME,DAYS_WITH_VALID_MEAN_TEMP,BRIGHT_SUNSHINE,LOCAL_MONTH,MAX_TEMPERATURE,NORMAL_SUNSHINE,LOCAL_YEAR,DAYS_WITH_VALID_PRECIP,DAYS_WITH_VALID_SUNSHINE,FRE_PROVINCE_NAME,ID,LONGITUDE,HEATING_DEGREE_DAYS,LOCAL_DATE,TOTAL_SNOWFALL,NORMAL_MEAN_TEMPERATURE,DAYS_WITH_PRECIP_GE_1MM,NORMAL_PRECIPITATION
-119.28952777777778,52.12902777777778,2022-05-27 11:13:14,38.27,31,31,1.3193548387096774,1160899,BRITISH COLUMBIA,31,BC,5,-11,0,71.5,52.129,BLUE RIVER A,31,120.1,3,14,102.41,1981,31,31,COLOMBIE-BRITANNIQUE,1237.1981.3,-119.290,517.1,1981-03,11.1,0.45,12,64.69
-119.28952777777778,52.12902777777778,2022-05-27 11:17:07,7.03,30,30,3.8666666666666667,1160899,BRITISH COLUMBIA,30,BC,0,-7,0,68.2,52.129,BLUE RIVER A,30,111.3,4,20.5,153.22,1981,30,30,COLOMBIE-BRITANNIQUE,1237.1981.4,-119.290,424,1981-04,13.2,5.15,15,58.7
-119.28952777777778,52.12902777777778,2022-05-27 11:31:51,0.35,31,31,11.080645161290322,1160899,BRITISH COLUMBIA,31,BC,0,-1,0,61.4,52.129,BLUE RIVER A,31,165.8,5,26,195.5,1981,31,31,COLOMBIE-BRITANNIQUE,1237.1981.5,-119.290,214.5,1981-05,0,10.23,13,75.83
-119.28952777777778,52.12902777777778,2022-05-27 11:24:08,,30,30,11.183333333333334,1160899,BRITISH COLUMBIA,30,BC,0,-0.5,0,145.4,52.129,BLUE RIVER A,30,148,6,26,191.28,1981,30,30,COLOMBIE-BRITANNIQUE,1237.1981.6,-119.290,204.5,1981-06,0,14.03,21,98.79
-119.28952777777778,52.12902777777778,2022-05-27 11:36:07,,31,31,16.4,1160899,BRITISH COLUMBIA,31,BC,0,3.5,8.3,127,52.129,BLUE RIVER A,31,214.1,7,31,216.57,1981,31,31,COLOMBIE-BRITANNIQUE,1237.1981.7,-119.290,57.9,1981-07,0,16.42,16,107.31
-119.28952777777778,52.12902777777778,2022-05-27 10:39:48,,31,31,18.361290322580643,1160899,BRITISH COLUMBIA,31,BC,0,6.5,46.8,61.2,52.129,BLUE RIVER A,31,257.8,8,35.5,216.22,1981,31,31,COLOMBIE-BRITANNIQUE,1237.1981.8,-119.290,35.6,1981-08,0,15.96,10,82.4
-119.28952777777778,52.12902777777778,2022-05-27 10:50:11,0.04,30,30,11.476666666666667,1160899,BRITISH COLUMBIA,30,BC,0,-1,0,91,52.129,BLUE RIVER A,30,137.9,9,30,161.28,1981,30,30,COLOMBIE-BRITANNIQUE,1237.1981.9,-119.290,195.7,1981-09,0,11.04,15,71.32
-119.28952777777778,52.12902777777778,2022-05-27 11:10:05,9.95,31,31,4.551612903225807,1160899,BRITISH COLUMBIA,31,BC,0,-8.5,0,94.6,52.129,BLUE RIVER A,31,76.5,10,12.5,82.01,1981,31,31,COLOMBIE-BRITANNIQUE,1237.1981.10,-119.290,416.9,1981-10,0,4.52,16,102.51
-119.28952777777778,52.12902777777778,2022-05-27 11:36:11,82.38,30,30,1.3933333333333333,1160899,BRITISH COLUMBIA,30,BC,16,-5,0,106.7,52.129,BLUE RIVER A,30,27,11,13,33.54,1981,30,30,COLOMBIE-BRITANNIQUE,1237.1981.11,-119.290,498.2,1981-11,60.6,-1.85,13,115.2
-119.28952777777778,52.12902777777778,2022-05-27 11:06:30,103.38,31,31,-8.067741935483872,1160899,BRITISH COLUMBIA,31,BC,47,-27,0,105.8,52.129,BLUE RIVER A,31,25.9,12,6,29.47,1981,31,31,COLOMBIE-BRITANNIQUE,1237.1981.12,-119.290,808.1,1981-12,98,-7.14,21,88.41
