x,y,LAST_UPDATED,NORMAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,DAYS_WITH_VALID_MIN_TEMP,MEAN_TEMPERATURE,CLIMATE_IDENTIFIER,ENG_PROVINCE_NAME,DAYS_WITH_VALID_MAX_TEMP,PROVINCE_CODE,SNOW_ON_GROUND_LAST_DAY,MIN_TEMPERATURE,COOLING_DEGREE_DAYS,TOTAL_PRECIPITATION,LATITUDE,STATION_NAME,DAYS_WITH_VALID_MEAN_TEMP,BRIGHT_SUNSHINE,LOCAL_MONTH,MAX_TEMPERATURE,NORMAL_SUNSHINE,LOCAL_YEAR,DAYS_WITH_VALID_PRECIP,DAYS_WITH_VALID_SUNSHINE,FRE_PROVINCE_NAME,ID,LONGITUDE,HEATING_DEGREE_DAYS,LOCAL_DATE,TOTAL_SNOWFALL,NORMAL_MEAN_TEMPERATURE,DAYS_WITH_PRECIP_GE_1MM,NORMAL_PRECIPITATION
-119.28952777777778,52.12902777777778,2022-05-27 11:27:41,113.47,31,31,-11.790322580645162,1160899,BRITISH COLUMBIA,31,BC,127,-35.3,0,165.1,52.129,BLUE RIVER A,31,16.8,1,4.6,39.3,1982,31,31,COLOMBIE-BRITANNIQUE,1237.1982.1,-119.290,923.5,1982-01,227.4,-7.25,18,105.43
-119.28952777777778,52.12902777777778,2022-05-27 11:02:55,49.53,28,28,-7.5,1160899,BRITISH COLUMBIA,28,BC,123,-33.5,0,95.3,52.129,BLUE RIVER A,28,49,2,7,62.98,1982,28,28,COLOMBIE-BRITANNIQUE,1237.1982.2,-119.290,714,1982-02,103.2,-4.35,17,53.84
-119.28952777777778,52.12902777777778,2022-05-27 11:39:34,38.27,31,31,-2.7193548387096773,1160899,BRITISH COLUMBIA,31,BC,103,-19.8,0,61.5,52.129,BLUE RIVER A,31,101.8,3,10.6,102.41,1982,31,31,COLOMBIE-BRITANNIQUE,1237.1982.3,-119.290,642.3,1982-03,73.8,0.45,10,64.69
-119.28952777777778,52.12902777777778,2022-05-27 10:54:44,7.03,30,30,1.94,1160899,BRITISH COLUMBIA,30,BC,15,-11.4,0,38.8,52.129,BLUE RIVER A,30,169.8,4,16.6,153.22,1982,30,30,COLOMBIE-BRITANNIQUE,1237.1982.4,-119.290,481.8,1982-04,8.6,5.15,8,58.7
-119.28952777777778,52.12902777777778,2022-05-27 11:36:16,0.35,31,31,8.654838709677419,1160899,BRITISH COLUMBIA,31,BC,0,-5.1,0,47.9,52.129,BLUE RIVER A,31,211.6,5,24.5,195.5,1982,31,31,COLOMBIE-BRITANNIQUE,1237.1982.5,-119.290,289.7,1982-05,0,10.23,10,75.83
-119.28952777777778,52.12902777777778,2022-05-27 11:10:07,,30,30,15.616666666666667,1160899,BRITISH COLUMBIA,30,BC,0,-0.6,6.7,43.8,52.129,BLUE RIVER A,30,252.5,6,32.9,191.28,1982,30,30,COLOMBIE-BRITANNIQUE,1237.1982.6,-119.290,78.2,1982-06,0,14.03,11,98.79
-119.28952777777778,52.12902777777778,2022-05-27 11:13:34,,31,31,15.4,1160899,BRITISH COLUMBIA,31,BC,0,5,10.9,207,52.129,BLUE RIVER A,31,157.3,7,32.5,216.57,1982,31,31,COLOMBIE-BRITANNIQUE,1237.1982.7,-119.290,91.5,1982-07,0,16.42,20,107.31
-119.28952777777778,52.12902777777778,2022-05-27 11:02:50,,31,31,14.64516129032258,1160899,BRITISH COLUMBIA,31,BC,0,3.5,1.5,143.6,52.129,BLUE RIVER A,31,170.1,8,30.6,216.22,1982,31,31,COLOMBIE-BRITANNIQUE,1237.1982.8,-119.290,105.5,1982-08,0,15.96,17,82.4
-119.28952777777778,52.12902777777778,2022-05-27 10:44:34,0.04,30,30,12.243333333333334,1160899,BRITISH COLUMBIA,30,BC,0,-2.3,2.1,101.5,52.129,BLUE RIVER A,30,128.8,9,27,161.28,1982,30,30,COLOMBIE-BRITANNIQUE,1237.1982.9,-119.290,174.8,1982-09,0,11.04,16,71.32
-119.28952777777778,52.12902777777778,2022-05-27 11:13:39,9.95,31,31,4.967741935483871,1160899,BRITISH COLUMBIA,31,BC,7,-6.2,0,107.7,52.129,BLUE RIVER A,31,64.6,10,16.6,82.01,1982,31,31,COLOMBIE-BRITANNIQUE,1237.1982.10,-119.290,404,1982-10,10,4.52,13,102.51
-119.28952777777778,52.12902777777778,2022-05-27 11:27:44,82.38,30,30,-4.3966666666666665,1160899,BRITISH COLUMBIA,30,BC,34,-20.5,0,62.6,52.129,BLUE RIVER A,30,36.4,11,5,33.54,1982,30,30,COLOMBIE-BRITANNIQUE,1237.1982.11,-119.290,671.9,1982-11,67.2,-1.85,12,115.2
-119.28952777777778,52.12902777777778,2022-05-27 10:55:08,103.38,31,30,-5.957142857142857,1160899,BRITISH COLUMBIA,29,BC,63,-19,0,72.9,52.129,BLUE RIVER A,28,21.8,12,3,29.47,1982,31,30.125,COLOMBIE-BRITANNIQUE,1237.1982.12,-119.290,670.8,1982-12,81.2,-7.14,13,88.41
-119.28952777777778,52.12902777777778,2022-05-27 11:06:48,113.47,31,31,-4.72258064516129,1160899,BRITISH COLUMBIA,31,BC,92,-15.6,0,95.3,52.129,BLUE RIVER A,31,8.5,1,3,39.3,1983,31,31,COLOMBIE-BRITANNIQUE,1237.1983.1,-119.290,704.4,1983-01,125.7,-7.25,14,105.43
-119.28952777777778,52.12902777777778,2022-05-27 11:17:29,49.53,28,28,-1.9607142857142856,1160899,BRITISH COLUMBIA,28,BC,71,-24.8,0,109,52.129,BLUE RIVER A,28,40,2,6.1,62.98,1983,28,28,COLOMBIE-BRITANNIQUE,1237.1983.2,-119.290,558.9,1983-02,57.4,-4.35,18,53.84
-119.28952777777778,52.12902777777778,2022-05-27 11:10:18,38.27,31,31,1.6580645161290322,1160899,BRITISH COLUMBIA,31,BC,17,-9.5,0,86.1,52.129,BLUE RIVER A,31,80.2,3,10.6,102.41,1983,31,31,COLOMBIE-BRITANNIQUE,1237.1983.3,-119.290,506.6,1983-03,31,0.45,16,64.69
-119.28952777777778,52.12902777777778,2022-05-27 10:50:24,7.03,30,30,5.786666666666667,1160899,BRITISH COLUMBIA,30,BC,0,-7.7,0,41.3,52.129,BLUE RIVER A,30,194.4,4,21.2,153.22,1983,30,30,COLOMBIE-BRITANNIQUE,1237.1983.4,-119.290,366.4,1983-04,2.8,5.15,9,58.7
-119.28952777777778,52.12902777777778,2022-05-27 11:39:43,0.35,31,31,11.270967741935484,1160899,BRITISH COLUMBIA,31,BC,0,-3.5,2.9,37.4,52.129,BLUE RIVER A,31,255.1,5,33,195.5,1983,31,31,COLOMBIE-BRITANNIQUE,1237.1983.5,-119.290,211.5,1983-05,0,10.23,7,75.83
-119.28952777777778,52.12902777777778,2022-05-27 11:10:23,,30,30,13.48,1160899,BRITISH COLUMBIA,30,BC,0,2.7,0,119.3,52.129,BLUE RIVER A,30,143.1,6,27.5,191.28,1983,30,30,COLOMBIE-BRITANNIQUE,1237.1983.6,-119.290,135.6,1983-06,0,14.03,18,98.79
-119.28952777777778,52.12902777777778,2022-05-27 10:59:11,,31,31,15.364516129032259,1160899,BRITISH COLUMBIA,31,BC,0,5,5,165.9,52.129,BLUE RIVER A,31,152.1,7,33.2,216.57,1983,31,31,COLOMBIE-BRITANNIQUE,1237.1983.7,-119.290,86.7,1983-07,0,16.42,22,107.31
-119.28952777777778,52.12902777777778,2022-05-27 11:13:44,,31,31,16.68064516129032,1160899,BRITISH COLUMBIA,31,BC,0,1,19.1,58.2,52.129,BLUE RIVER A,31,218.8,8,31,216.22,1983,31,31,COLOMBIE-BRITANNIQUE,1237.1983.8,-119.290,60,1983-08,0,15.96,12,82.4
-119.28952777777778,52.12902777777778,2022-05-27 10:55:00,0.04,30,30,8.93,1160899,BRITISH COLUMBIA,30,BC,0,-7,0,106.9,52.129,BLUE RIVER A,30,124.8,9,24.3,161.28,1983,30,30,COLOMBIE-BRITANNIQUE,1237.1983.9,-119.290,272.1,1983-09,0,11.04,17,71.32
-119.28952777777778,52.12902777777778,2022-05-27 11:17:32,9.95,31,31,4.183870967741935,1160899,BRITISH COLUMBIA,31,BC,,-8,0,89.6,52.129,BLUE RIVER A,31,79.7,10,14.6,82.01,1983,31,31,COLOMBIE-BRITANNIQUE,1237.1983.10,-119.290,428.3,1983-10,5.2,4.52,13,102.51
-119.28952777777778,52.12902777777778,2022-05-27 10:40:06,82.38,30,30,0.8466666666666667,1160899,BRITISH COLUMBIA,30,BC,0,-7.5,0,120.8,52.129,BLUE RIVER A,30,32.7,11,10.3,33.54,1983,30,30,COLOMBIE-BRITANNIQUE,1237.1983.11,-119.290,514.6,1983-11,40.2,-1.85,19,115.2
-119.28952777777778,52.12902777777778,2022-05-27 11:13:50,103.38,31,31,-13.019354838709678,1160899,BRITISH COLUMBIA,31,BC,35,-35.8,0,39.4,52.129,BLUE RIVER A,31,47.6,12,1.5,29.47,1983,31,31,COLOMBIE-BRITANNIQUE,1237.1983.12,-119.290,961.6,1983-12,66.2,-7.14,10,88.41
-119.28952777777778,52.12902777777778,2022-05-27 11:27:58,113.47,31,31,-6.541935483870968,1160899,BRITISH COLUMBIA,31,BC,76,-32,0,159.3,52.129,BLUE RIVER A,31,36.6,1,6.1,39.3,1984,31,31,COLOMBIE-BRITANNIQUE,1237.1984.1,-119.290,760.8,1984-01,149.5,-7.25,14,105.43
-119.28952777777778,52.12902777777778,2022-05-27 11:21:05,49.53,29,29,-1.893103448275862,1160899,BRITISH COLUMBIA,29,BC,,-13.2,0,49.3,52.129,BLUE RIVER A,29,30.9,2,4.5,62.98,1984,29,29,COLOMBIE-BRITANNIQUE,1237.1984.2,-119.290,576.9,1984-02,57.9,-4.35,13,53.84
-119.28952777777778,52.12902777777778,2022-05-27 11:10:20,38.27,31,31,2.0387096774193547,1160899,BRITISH COLUMBIA,31,BC,20,-11.6,0,47,52.129,BLUE RIVER A,31,95.3,3,14,102.41,1984,31,31,COLOMBIE-BRITANNIQUE,1237.1984.3,-119.290,494.8,1984-03,31,0.45,8,64.69
-119.28952777777778,52.12902777777778,2022-05-27 11:24:23,7.03,30,30,4.34,1160899,BRITISH COLUMBIA,30,BC,0,-8.7,0,65.8,52.129,BLUE RIVER A,30,114.5,4,24.2,153.22,1984,30,30,COLOMBIE-BRITANNIQUE,1237.1984.4,-119.290,409.8,1984-04,7,5.15,15,58.7
-119.28952777777778,52.12902777777778,2022-05-27 11:31:58,0.35,31,31,7.541935483870968,1160899,BRITISH COLUMBIA,31,BC,0,-5.2,0,110.6,52.129,BLUE RIVER A,31,131,5,22.1,195.5,1984,31,31,COLOMBIE-BRITANNIQUE,1237.1984.5,-119.290,324.2,1984-05,0,10.23,18,75.83
-119.28952777777778,52.12902777777778,2022-05-27 10:54:58,,30,30,12.976666666666667,1160899,BRITISH COLUMBIA,30,BC,0,-2.7,0,126.3,52.129,BLUE RIVER A,30,184,6,27.2,191.28,1984,30,30,COLOMBIE-BRITANNIQUE,1237.1984.6,-119.290,150.7,1984-06,0,14.03,16,98.79
-119.28952777777778,52.12902777777778,2022-05-27 11:40:05,,31,31,16.374193548387098,1160899,BRITISH COLUMBIA,31,BC,0,1.9,19.4,35,52.129,BLUE RIVER A,31,283,7,33.9,216.57,1984,31,31,COLOMBIE-BRITANNIQUE,1237.1984.7,-119.290,69.8,1984-07,0,16.42,11,107.31
-119.28952777777778,52.12902777777778,2022-05-27 11:10:31,,31,31,15.8,1160899,BRITISH COLUMBIA,31,BC,0,2.2,21.8,73,52.129,BLUE RIVER A,31,191.2,8,32.9,216.22,1984,31,31,COLOMBIE-BRITANNIQUE,1237.1984.8,-119.290,90,1984-08,0,15.96,12,82.4
-119.28952777777778,52.12902777777778,2022-05-27 11:32:19,0.04,30,30,8.83,1160899,BRITISH COLUMBIA,30,BC,0,-7.2,0,96.6,52.129,BLUE RIVER A,30,131.9,9,21.4,161.28,1984,30,30,COLOMBIE-BRITANNIQUE,1237.1984.9,-119.290,275.1,1984-09,0,11.04,15,71.32
-119.28952777777778,52.12902777777778,2022-05-27 10:55:15,9.95,31,31,2.729032258064516,1160899,BRITISH COLUMBIA,31,BC,9,-20,0,99.3,52.129,BLUE RIVER A,31,59.8,10,18.1,82.01,1984,31,31,COLOMBIE-BRITANNIQUE,1237.1984.10,-119.290,473.4,1984-10,19.2,4.52,11,102.51
-119.28952777777778,52.12902777777778,2022-05-27 11:32:15,82.38,30,30,-3.1366666666666667,1160899,BRITISH COLUMBIA,30,BC,57,-24.5,0,111.5,52.129,BLUE RIVER A,30,22.1,11,5.5,33.54,1984,30,30,COLOMBIE-BRITANNIQUE,1237.1984.11,-119.290,634.1,1984-11,134.4,-1.85,17,115.2
-119.28952777777778,52.12902777777778,2022-05-27 11:13:54,103.38,31,31,-14.093548387096774,1160899,BRITISH COLUMBIA,31,BC,95,-44.8,0,129.6,52.129,BLUE RIVER A,31,35.9,12,1,29.47,1984,31,31,COLOMBIE-BRITANNIQUE,1237.1984.12,-119.290,994.9,1984-12,208.4,-7.14,14,88.41
-119.28952777777778,52.12902777777778,2022-05-27 11:36:34,113.47,31,31,-9.35483870967742,1160899,BRITISH COLUMBIA,31,BC,97,-33.6,0,31.4,52.129,BLUE RIVER A,31,43.8,1,2.3,39.3,1985,31,31,COLOMBIE-BRITANNIQUE,1237.1985.1,-119.290,848,1985-01,38.5,-7.25,5,105.43
-119.28952777777778,52.12902777777778,2022-05-27 11:32:16,49.53,28,28,-7.371428571428571,1160899,BRITISH COLUMBIA,28,BC,105,-35.6,0,75.3,52.129,BLUE RIVER A,28,58.8,2,6.7,62.98,1985,28,28,COLOMBIE-BRITANNIQUE,1237.1985.2,-119.290,710.4,1985-02,85.7,-4.35,16,53.84
-119.28952777777778,52.12902777777778,2022-05-27 11:13:54,38.27,31,31,-1.235483870967742,1160899,BRITISH COLUMBIA,31,BC,83,-16.4,0,30.1,52.129,BLUE RIVER A,31,99.8,3,14,102.41,1985,31,31,COLOMBIE-BRITANNIQUE,1237.1985.3,-119.290,596.3,1985-03,28.4,0.45,7,64.69
-119.28952777777778,52.12902777777778,2022-05-27 10:55:27,7.03,30,30,3.68,1160899,BRITISH COLUMBIA,30,BC,0,-9.2,0,59.9,52.129,BLUE RIVER A,30,130.1,4,19.9,153.22,1985,30,30,COLOMBIE-BRITANNIQUE,1237.1985.4,-119.290,429.6,1985-04,18.6,5.15,15,58.7
-119.28952777777778,52.12902777777778,2022-05-27 10:55:24,0.35,31,31,10.7,1160899,BRITISH COLUMBIA,31,BC,0,-3.8,0,37.5,52.129,BLUE RIVER A,31,225.5,5,28,195.5,1985,31,31,COLOMBIE-BRITANNIQUE,1237.1985.5,-119.290,226.3,1985-05,2.2,10.23,9,75.83
-119.28952777777778,52.12902777777778,2022-05-27 11:40:00,,30,30,13.363333333333333,1160899,BRITISH COLUMBIA,30,BC,0,-1.9,1.6,110,52.129,BLUE RIVER A,30,221.2,6,30.9,191.28,1985,30,30,COLOMBIE-BRITANNIQUE,1237.1985.6,-119.290,140.7,1985-06,0,14.03,14,98.79
-119.28952777777778,52.12902777777778,2022-05-27 11:13:55,,31,31,18.848387096774193,1160899,BRITISH COLUMBIA,31,BC,0,2.4,41.7,4.2,52.129,BLUE RIVER A,31,344.1,7,35.2,216.57,1985,31,31,COLOMBIE-BRITANNIQUE,1237.1985.7,-119.290,15.4,1985-07,0,16.42,2,107.31
-119.28952777777778,52.12902777777778,2022-05-27 10:59:32,,31,31,15.338709677419354,1160899,BRITISH COLUMBIA,31,BC,0,1,8,85.9,52.129,BLUE RIVER A,31,229.4,8,33.1,216.22,1985,31,31,COLOMBIE-BRITANNIQUE,1237.1985.8,-119.290,90.5,1985-08,0,15.96,12,82.4
-119.28952777777778,52.12902777777778,2022-05-27 11:28:11,0.04,30,30,8.513333333333334,1160899,BRITISH COLUMBIA,30,BC,0,-6.5,0,92.7,52.129,BLUE RIVER A,30,137.2,9,23.4,161.28,1985,30,30,COLOMBIE-BRITANNIQUE,1237.1985.9,-119.290,284.6,1985-09,0,11.04,14,71.32
-119.28952777777778,52.12902777777778,2022-05-27 11:10:31,9.95,31,31,3.193548387096774,1160899,BRITISH COLUMBIA,31,BC,16,-9.6,0,208.2,52.129,BLUE RIVER A,31,58.3,10,12.8,82.01,1985,31,31,COLOMBIE-BRITANNIQUE,1237.1985.10,-119.290,459,1985-10,69.5,4.52,22,102.51
-119.28952777777778,52.12902777777778,2022-05-27 11:10:29,82.38,30,30,-12.283333333333333,1160899,BRITISH COLUMBIA,30,BC,15,-36.9,0,38.2,52.129,BLUE RIVER A,30,92.3,11,6,33.54,1985,30,30,COLOMBIE-BRITANNIQUE,1237.1985.11,-119.290,908.5,1985-11,39.6,-1.85,6,115.2
-119.28952777777778,52.12902777777778,2022-05-27 11:32:20,103.38,31,31,-8.293548387096774,1160899,BRITISH COLUMBIA,31,BC,30,-34.1,0,29.4,52.129,BLUE RIVER A,31,30.5,12,3,29.47,1985,31,31,COLOMBIE-BRITANNIQUE,1237.1985.12,-119.290,815.1,1985-12,44.2,-7.14,7,88.41
-119.28952777777778,52.12902777777778,2022-05-27 11:36:50,113.47,31,31,-4.151612903225806,1160899,BRITISH COLUMBIA,31,BC,75,-27.6,0,141,52.129,BLUE RIVER A,31,22.1,1,6.8,39.3,1986,31,31,COLOMBIE-BRITANNIQUE,1237.1986.1,-119.290,686.7,1986-01,136.6,-7.25,14,105.43
-119.28952777777778,52.12902777777778,2022-05-27 11:36:50,49.53,28,28,-7.775,1160899,BRITISH COLUMBIA,28,BC,66,-25.5,0,43.1,52.129,BLUE RIVER A,28,85.8,2,8.5,62.98,1986,28,28,COLOMBIE-BRITANNIQUE,1237.1986.2,-119.290,721.7,1986-02,46.5,-4.35,9,53.84
-119.28952777777778,52.12902777777778,2022-05-27 11:36:49,38.27,31,31,2.8419354838709676,1160899,BRITISH COLUMBIA,31,BC,15,-9,0,90.8,52.129,BLUE RIVER A,31,96.3,3,13.6,102.41,1986,31,31,COLOMBIE-BRITANNIQUE,1237.1986.3,-119.290,469.9,1986-03,14.2,0.45,15,64.69
-119.28952777777778,52.12902777777778,2022-05-27 10:51:07,7.03,30,30,4.986666666666666,1160899,BRITISH COLUMBIA,30,BC,0,-4.6,0,67.5,52.129,BLUE RIVER A,30,124.3,4,21.4,153.22,1986,30,30,COLOMBIE-BRITANNIQUE,1237.1986.4,-119.290,390.4,1986-04,2.6,5.15,13,58.7
-119.28952777777778,52.12902777777778,2022-05-27 11:03:47,0.35,31,31,10.003225806451614,1160899,BRITISH COLUMBIA,31,BC,0,-3,5.4,108.7,52.129,BLUE RIVER A,31,172.8,5,31.6,195.5,1986,31,31,COLOMBIE-BRITANNIQUE,1237.1986.5,-119.290,253.3,1986-05,0,10.23,19,75.83
-119.28952777777778,52.12902777777778,2022-05-27 11:14:20,,30,30,14.433333333333334,1160899,BRITISH COLUMBIA,30,BC,0,-0.4,1,80.2,52.129,BLUE RIVER A,30,207.4,6,30.1,191.28,1986,30,30,COLOMBIE-BRITANNIQUE,1237.1986.6,-119.290,108,1986-06,0,14.03,13,98.79
-119.28952777777778,52.12902777777778,2022-05-27 10:40:45,,31,31,14.593548387096774,1160899,BRITISH COLUMBIA,31,BC,0,4.2,1.4,140.8,52.129,BLUE RIVER A,31,147,7,30.3,216.57,1986,31,31,COLOMBIE-BRITANNIQUE,1237.1986.7,-119.290,107,1986-07,0,16.42,19,107.31
-119.28952777777778,52.12902777777778,2022-05-27 10:40:41,,31,31,17.029032258064515,1160899,BRITISH COLUMBIA,31,BC,0,-0.7,13.5,15.9,52.129,BLUE RIVER A,31,282,8,32.4,216.22,1986,31,31,COLOMBIE-BRITANNIQUE,1237.1986.8,-119.290,43.6,1986-08,0,15.96,4,82.4
-119.28952777777778,52.12902777777778,2022-05-27 11:14:09,0.04,30,30,9.866666666666667,1160899,BRITISH COLUMBIA,30,BC,0,-3.2,0,90.6,52.129,BLUE RIVER A,30,154.1,9,24.5,161.28,1986,30,30,COLOMBIE-BRITANNIQUE,1237.1986.9,-119.290,244,1986-09,0,11.04,17,71.32
-119.28952777777778,52.12902777777778,2022-05-27 11:14:23,9.95,31,31,5.890322580645162,1160899,BRITISH COLUMBIA,31,BC,0,-6.2,0,39.1,52.129,BLUE RIVER A,31,114.5,10,18.5,82.01,1986,31,31,COLOMBIE-BRITANNIQUE,1237.1986.10,-119.290,375.4,1986-10,0,4.52,6,102.51
-119.28952777777778,52.12902777777778,2022-05-27 11:10:50,82.38,30,30,-2.21,1160899,BRITISH COLUMBIA,30,BC,25,-18.4,0,110,52.129,BLUE RIVER A,30,35.7,11,9.3,33.54,1986,30,30,COLOMBIE-BRITANNIQUE,1237.1986.11,-119.290,606.3,1986-11,82.9,-1.85,15,115.2
-119.28952777777778,52.12902777777778,2022-05-27 10:40:57,103.38,31,31,-6.67741935483871,1160899,BRITISH COLUMBIA,31,BC,59,-24.4,0,78.3,52.129,BLUE RIVER A,31,20,12,4,29.47,1986,31,31,COLOMBIE-BRITANNIQUE,1237.1986.12,-119.290,765,1986-12,72.9,-7.14,14,88.41
-119.28952777777778,52.12902777777778,2022-05-27 10:51:26,113.47,31,31,-5.148387096774194,1160899,BRITISH COLUMBIA,31,BC,83,-23.6,0,50.3,52.129,BLUE RIVER A,31,22.4,1,4.6,39.3,1987,31,31,COLOMBIE-BRITANNIQUE,1237.1987.1,-119.290,717.6,1987-01,64.7,-7.25,12,105.43
-119.28952777777778,52.12902777777778,2022-05-27 11:24:59,49.53,28,28,-1.6107142857142858,1160899,BRITISH COLUMBIA,28,BC,87,-18.3,0,40,52.129,BLUE RIVER A,28,49.3,2,5.1,62.98,1987,28,28,COLOMBIE-BRITANNIQUE,1237.1987.2,-119.290,549.1,1987-02,43.5,-4.35,14,53.84
-119.28952777777778,52.12902777777778,2022-05-27 11:17:55,38.27,31,31,1.6580645161290322,1160899,BRITISH COLUMBIA,31,BC,33,-14.1,0,88.7,52.129,BLUE RIVER A,31,89.7,3,16.5,102.41,1987,31,31,COLOMBIE-BRITANNIQUE,1237.1987.3,-119.290,506.6,1987-03,23.1,0.45,13,64.69
-119.28952777777778,52.12902777777778,2022-05-27 10:51:11,7.03,30,30,6.543333333333333,1160899,BRITISH COLUMBIA,30,BC,0,-6.3,0,69,52.129,BLUE RIVER A,30,162.9,4,26.7,153.22,1987,30,30,COLOMBIE-BRITANNIQUE,1237.1987.4,-119.290,343.7,1987-04,0,5.15,13,58.7
-119.28952777777778,52.12902777777778,2022-05-27 10:40:35,0.35,31,31,10.941935483870967,1160899,BRITISH COLUMBIA,31,BC,0,-3.6,0,94.8,52.129,BLUE RIVER A,31,207.6,5,29,195.5,1987,31,31,COLOMBIE-BRITANNIQUE,1237.1987.5,-119.290,218.8,1987-05,0,10.23,13,75.83
-119.28952777777778,52.12902777777778,2022-05-27 10:59:49,,30,30,15.746666666666666,1160899,BRITISH COLUMBIA,30,BC,0,1,14.1,50.4,52.129,BLUE RIVER A,30,248.1,6,31.9,191.28,1987,30,30,COLOMBIE-BRITANNIQUE,1237.1987.6,-119.290,81.7,1987-06,0,14.03,9,98.79
-119.28952777777778,52.12902777777778,2022-05-27 11:03:38,,31,31,16.690322580645162,1160899,BRITISH COLUMBIA,31,BC,0,2,19,104.2,52.129,BLUE RIVER A,31,223.7,7,32.6,216.57,1987,31,31,COLOMBIE-BRITANNIQUE,1237.1987.7,-119.290,59.6,1987-07,0,16.42,11,107.31
