ZoneID,p,p_se,p_t,q,q_se,q_t,m,R2,RMSE
Alberta_1,9.378749686662907e-5,3.5657405251464874e-5,2.630238970144248,0.06938133997003601,0.005124562629961355,13.538977856254482,335.6,0.8263593727857159,3.130660741396017
Alberta_10,6.675141683786391e-4,2.750963478373318e-4,2.426474119435963,0.013029882789262964,0.005664101771310657,2.3004323219015688,375.6858811848,0.0796708141809297,2.3325837021094804
Alberta_11,3.013665496541232e-4,8.054927927884643e-5,3.7413934966549975,0.041538934311480355,0.003401566561465248,12.211707035827391,341.5,0.724502318903087,2.2425661241138743
Alberta_12,7.35898730675281e-5,2.9759328973600833e-5,2.4728337501429833,0.07195536653450957,0.005099632610783688,14.109911836070834,309.7612029892644,0.7181249080066764,3.922703101468194
Alberta_13,1.0411764007306537,3.1025142294626864,0.33559117661515814,-1.0250476207843142,3.070984153527786,-0.3337847313887286,51.939706107721605,0.026677989186027595,0.15792305535552242
Alberta_14,1.0412954501965743,3.10281148201706,0.3355973948889909,-1.0251652915874758,3.0712789028364136,-0.33379101150361384,51.939706107721605,0.026677989238491295,0.15792305535126627
Alberta_15,4.796831953568025e-4,1.503056034885456e-4,3.191385977791293,0.040986109589641766,0.0043517140748843205,9.418382937011154,233.40000000000003,0.5788023528263742,2.2181843353404216
Alberta_16,5.256545745468199e-4,1.650809361249931e-4,3.1842233687650885,0.03033535999858889,0.004619795998894374,6.566385183642061,241.99856670056508,0.4935971975792459,1.6791615379534361
Alberta_2,4.215882005037679e-4,1.055327131246878e-4,3.994857973618643,0.03237785470311543,0.0032850159618930375,9.85622446852807,395,0.6214635049912851,2.275230964068082
Alberta_3,5.5364359220252537e-5,4.7672640492677606e-5,1.1613445080466303,0.052700362360211105,0.012056540690818993,4.371101438768603,389.2000000000001,0.45871939786373084,2.484250087995023
Alberta_4,4.1267645845175746e-4,1.4087657448020853e-4,2.92934762201883,0.03290193496610291,0.004593580683618722,7.162589977669334,319.5,0.44224592797362994,2.4285465341286963
Alberta_5,2.649487709668189e-4,8.204298245645954e-5,3.229389803173331,0.04649903562401011,0.0042138929473924,11.034697892072504,362.9,0.7335289310663112,2.633420815048916
Alberta_6,4.0684127506768094e-4,1.1405844136710715e-4,3.5669545383162515,0.038529020096074215,0.0037099412398095655,10.385345105372059,413.7204940376,0.6109733200251546,3.144299888885956
Alberta_7,6.449805702208527e-4,1.8985718153120888e-4,3.397188165435977,0.041547781822921744,0.0042657918418040714,9.739758376337118,334.6,0.5590838918520726,3.622322967896213
Alberta_8,3.039683034880131e-4,1.185537317979304e-4,2.5639707740800066,0.027203293699338115,0.005410177134345052,5.028170616936983,387.13862120080006,0.35814005807061433,2.0522052762883685
Alberta_9,4.012604322234362e-4,1.0762501564217192e-4,3.72831938587153,0.03560531540662819,0.003880752861709337,9.17484742662672,385.7636883738,0.6854794519789293,2.1966314081227893
BC_1,7.565089612314885e-5,4.968417750209538e-5,1.5226355738697366,0.07368742607910471,0.008628973498071502,8.539535565333836,273.98622100855573,0.18222938064692074,6.878677782522537
BC_10,1.4623491208653195e-10,2.9585969553850697e-10,0.4942711504531345,0.2543307146452154,0.025263433506792488,10.067147625711065,284.5,0.6638136757846842,12.298168493953098
BC_11,6.840985107393261e-16,5.998147765620935e-15,0.11405162684726015,0.3992496729005586,0.09609641550216834,4.154678099221608,232,-0.13251249775237217,32.491218396743115
BC_12,NA,NA,NA,NA,NA,NA,214,NA,NA
BC_13,4.2810933551017297e-10,1.1437989500477385e-9,0.3742872254711416,0.23946764113194274,0.03361199397470138,7.1244699529632785,323.9827092370252,0.13773279996234222,19.070696837308056
BC_14,NA,NA,NA,NA,NA,NA,348.59531222940234,NA,NA
BC_15,5.717361693892787e-13,2.4489346415242615e-12,0.2334632209838886,0.3137705604556777,0.04949711661557675,6.339168458894312,201.7231507575323,0.20327355042269868,15.765129487323899
BC_16,NA,NA,NA,NA,NA,NA,235.50535271956105,NA,NA
BC_17,NA,NA,NA,NA,NA,NA,280.8819673761376,NA,NA
BC_2,NA,NA,NA,NA,NA,NA,235,NA,NA
BC_3,1.4197958100203474e-13,7.582092602156319e-13,0.187256458674293,0.3393336849684674,0.062158325167852954,5.459183207593309,254.50000000000009,0.14975808723182082,24.381319777581545
BC_4,NA,NA,NA,NA,NA,NA,204.99999999999997,NA,NA
BC_5,NA,NA,NA,NA,NA,NA,245.00249285346135,NA,NA
BC_6,1.220987171383556e-6,1.2306792675379805e-6,0.9921245962209033,0.1349120818036241,0.013659412049253632,9.876858631773677,326,0.43159192840604377,10.317287004436979
BC_7,3.0772580215061905e-14,1.5784610780383808e-13,0.19495305043127367,0.35527601546971466,0.058539546685747006,6.068991572089095,276.4,0.342081625474395,24.42605124004579
BC_8,NA,NA,NA,NA,NA,NA,87.6,NA,NA
BC_9,1.4109539563546025e-10,4.166304034162936e-10,0.33865842357759696,0.23222030544700703,0.034064582528375256,6.8170600726890225,178.9,0.16448627012447892,10.88633329231236
Manitoba_1,1.5764569042928648e-4,5.026500594029856e-5,3.136291093181757,0.06647078483047694,0.004383170137913451,15.165002210504989,253,0.7329376920123303,3.291303240174521
Manitoba_2,2.880764954496368e-4,8.218474568083704e-5,3.505230722114498,0.06217304073691745,0.0042597053947023965,14.595619878839333,269.20000000000005,0.6774238048417855,3.5214387895525174
Manitoba_3,5.98025863192246e-5,2.672408592479693e-5,2.237778552557884,0.08504241806276695,0.0062392500310111025,13.63023081942196,227.4,0.7204046250336594,3.3874810567700453
