"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37","COL38","COL39","COL40","COL41","COL42","COL43","COL44","COL45","COL46","COL47","COL48","COL49","COL50","COL51","COL52","COL53","COL54","COL55","COL56","COL57","COL58","COL59"
"A0A","A0A",51.60,18155.00,375.00,320.00,495.00,260.00,5.00,25.00,120.00,2.30,29800.00,32400.00,44770.00,44240.00,490.00,40.00,44770.00,690.00,1040.00,43035.00,245.00,100.00,130.00,10.00,0.00,19745.00,16980.00,2770.00,0.00,19745.00,170.00,19575.00,19745.00,4090.00,5795.00,3035.00,2120.00,990.00,1200.00,1555.00,960.00,19705.00,17335.00,2375.00,2770.00,18.10,36.50,21.80,800.00,813.00,14615.00,5215.00,3995.00,2420.00,1150.00,1840.00,22180.00,22750.00
"A0B","A0B",57.20,8625.00,80.00,100.00,65.00,145.00,0.00,10.00,75.00,2.10,28600.00,31400.00,19115.00,18885.00,205.00,25.00,19110.00,300.00,440.00,18370.00,75.00,35.00,40.00,0.00,0.00,9130.00,8120.00,1015.00,0.00,9130.00,55.00,9080.00,9130.00,1760.00,3175.00,1530.00,990.00,335.00,355.00,590.00,395.00,9120.00,8390.00,730.00,1015.00,25.60,25.20,19.80,700.00,684.00,5940.00,2615.00,1100.00,785.00,355.00,1085.00,9625.00,9670.00
"A0C","A0C",56.40,5240.00,55.00,70.00,75.00,130.00,0.00,10.00,25.00,2.10,26600.00,28600.00,11955.00,11770.00,145.00,40.00,11955.00,195.00,215.00,11550.00,60.00,20.00,30.00,0.00,0.00,5645.00,4885.00,760.00,0.00,5645.00,35.00,5605.00,5645.00,1560.00,1595.00,955.00,675.00,230.00,250.00,210.00,165.00,5625.00,5160.00,465.00,760.00,19.70,31.60,27.20,700.00,690.00,3620.00,1910.00,730.00,470.00,185.00,325.00,5880.00,6090.00
"A0E","A0E",54.80,8785.00,140.00,260.00,265.00,205.00,0.00,15.00,70.00,2.20,27400.00,29400.00,20935.00,20705.00,215.00,0.00,20930.00,240.00,340.00,20355.00,125.00,85.00,35.00,0.00,0.00,9735.00,8325.00,1415.00,0.00,9735.00,110.00,9625.00,9735.00,2195.00,3910.00,1520.00,975.00,195.00,305.00,380.00,250.00,9715.00,8825.00,890.00,1410.00,27.00,27.30,22.10,705.00,689.00,6755.00,3740.00,1435.00,710.00,315.00,565.00,10475.00,10735.00
"A0G","A0G",56.00,13935.00,365.00,190.00,130.00,235.00,0.00,20.00,115.00,2.20,26400.00,28200.00,32830.00,32550.00,245.00,30.00,32830.00,330.00,590.00,31910.00,125.00,50.00,65.00,10.00,0.00,14990.00,12965.00,2030.00,0.00,14990.00,125.00,14860.00,14990.00,3165.00,5410.00,2640.00,1665.00,485.00,580.00,580.00,455.00,14985.00,13640.00,1340.00,2030.00,15.80,32.50,29.20,710.00,728.00,9005.00,4350.00,2020.00,1140.00,565.00,935.00,16485.00,16830.00
"A0H","A0H",55.20,6735.00,255.00,315.00,115.00,105.00,0.00,10.00,70.00,2.20,26800.00,28600.00,16525.00,16435.00,90.00,0.00,16530.00,105.00,280.00,16145.00,35.00,15.00,15.00,0.00,0.00,7590.00,6160.00,1270.00,165.00,7590.00,60.00,7530.00,7590.00,1855.00,2770.00,1025.00,800.00,335.00,300.00,285.00,220.00,7220.00,6460.00,760.00,1250.00,19.20,27.40,18.00,730.00,714.00,5170.00,2900.00,1220.00,560.00,130.00,360.00,8250.00,8495.00
"A0J","A0J",55.60,2980.00,60.00,185.00,75.00,90.00,0.00,5.00,30.00,2.10,26000.00,27600.00,7385.00,7310.00,65.00,0.00,7390.00,80.00,160.00,7155.00,40.00,20.00,20.00,0.00,0.00,3455.00,2790.00,670.00,0.00,3455.00,50.00,3405.00,3455.00,585.00,1250.00,625.00,450.00,135.00,150.00,170.00,90.00,3455.00,3060.00,395.00,670.00,19.40,35.60,21.40,735.00,728.00,2225.00,1240.00,490.00,260.00,55.00,175.00,3690.00,3805.00
"A0K","A0K",55.20,10300.00,125.00,150.00,100.00,205.00,0.00,20.00,115.00,2.20,28400.00,31400.00,24630.00,24265.00,335.00,35.00,24635.00,375.00,445.00,23820.00,230.00,160.00,60.00,0.00,0.00,11090.00,9990.00,1100.00,0.00,11090.00,95.00,11000.00,11090.00,1475.00,4455.00,2335.00,1520.00,330.00,345.00,340.00,290.00,11075.00,10380.00,695.00,1100.00,20.00,24.50,25.20,695.00,696.00,6870.00,4135.00,1140.00,665.00,285.00,640.00,12190.00,12465.00
"A0L","A0L",50.80,2995.00,20.00,85.00,135.00,20.00,0.00,0.00,5.00,2.30,32000.00,36000.00,7375.00,7285.00,95.00,0.00,7375.00,100.00,215.00,7060.00,30.00,15.00,10.00,0.00,0.00,3270.00,2775.00,495.00,0.00,3270.00,35.00,3235.00,3270.00,310.00,1235.00,560.00,485.00,155.00,185.00,155.00,185.00,3260.00,2885.00,375.00,490.00,10.20,29.90,18.80,750.00,804.00,2625.00,850.00,1060.00,415.00,105.00,195.00,3695.00,3810.00
"A0M","A0M",55.60,2290.00,40.00,0.00,75.00,120.00,0.00,15.00,0.00,2.10,29400.00,31800.00,5420.00,5360.00,50.00,0.00,5420.00,65.00,60.00,5295.00,30.00,25.00,10.00,0.00,0.00,2520.00,2150.00,375.00,0.00,2520.00,40.00,2480.00,2520.00,735.00,1005.00,360.00,195.00,45.00,50.00,95.00,35.00,2520.00,2300.00,220.00,370.00,13.50,43.20,13.70,705.00,716.00,1740.00,1120.00,340.00,120.00,45.00,115.00,2640.00,2830.00
"A0N","A0N",56.80,5660.00,70.00,45.00,60.00,65.00,5.00,10.00,60.00,2.00,24600.00,26200.00,12145.00,12045.00,100.00,0.00,12145.00,110.00,225.00,11815.00,45.00,20.00,25.00,0.00,0.00,5965.00,5070.00,900.00,0.00,5965.00,30.00,5930.00,5965.00,1095.00,2275.00,1115.00,670.00,195.00,255.00,190.00,175.00,5935.00,5340.00,595.00,895.00,19.60,33.10,33.10,670.00,646.00,3000.00,1480.00,735.00,380.00,160.00,250.00,6205.00,6185.00
"A0P","A0P",36.00,3380.00,570.00,385.00,155.00,140.00,0.00,10.00,25.00,2.70,39600.00,44000.00,12655.00,11945.00,565.00,145.00,12650.00,750.00,425.00,11480.00,470.00,350.00,120.00,0.00,0.00,4655.00,2920.00,1345.00,395.00,4655.00,75.00,4580.00,4655.00,530.00,965.00,640.00,915.00,465.00,465.00,385.00,295.00,4115.00,3795.00,315.00,1295.00,20.80,11.20,9.00,900.00,968.00,5260.00,3865.00,725.00,305.00,170.00,190.00,6525.00,6535.00
"A0R","A0R",36.40,615.00,80.00,215.00,0.00,90.00,0.00,0.00,55.00,2.50,55600.00,68500.00,2700.00,2625.00,70.00,0.00,2695.00,85.00,85.00,2525.00,65.00,55.00,15.00,0.00,0.00,1090.00,705.00,385.00,0.00,1090.00,20.00,1065.00,1090.00,55.00,770.00,30.00,45.00,15.00,60.00,110.00,15.00,1085.00,1055.00,30.00,385.00,35.10,0.00,0.00,120.00,438.00,1530.00,1180.00,320.00,20.00,0.00,0.00,1370.00,1295.00
"A1A","A1A",45.20,6955.00,360.00,815.00,2765.00,1555.00,200.00,10.00,5.00,2.30,38400.00,44000.00,28680.00,25225.00,2715.00,735.00,28675.00,3680.00,2330.00,22675.00,2340.00,1400.00,430.00,490.00,15.00,12625.00,8565.00,4065.00,0.00,12625.00,695.00,11935.00,12625.00,1565.00,4195.00,1880.00,1550.00,1095.00,1185.00,840.00,315.00,12570.00,10250.00,2320.00,4060.00,18.10,33.30,20.30,980.00,1067.00,10390.00,6080.00,3540.00,485.00,90.00,190.00,14505.00,15580.00
"A1B","A1B",34.00,3055.00,695.00,820.00,3195.00,1180.00,120.00,15.00,0.00,2.20,28400.00,31200.00,20290.00,16055.00,2185.00,2050.00,20285.00,4410.00,1435.00,14440.00,1915.00,965.00,285.00,655.00,15.00,9055.00,4545.00,4515.00,0.00,9055.00,815.00,8240.00,9055.00,1935.00,2905.00,725.00,800.00,495.00,765.00,970.00,460.00,9015.00,6895.00,2120.00,4515.00,21.60,33.00,17.90,970.00,1003.00,7805.00,4240.00,2575.00,600.00,170.00,210.00,10345.00,10560.00
"A1C","A1C",39.60,1560.00,585.00,1825.00,740.00,1860.00,20.00,50.00,5.00,1.90,28000.00,30200.00,12295.00,10780.00,925.00,585.00,12295.00,1625.00,1050.00,9620.00,720.00,430.00,110.00,180.00,0.00,6605.00,3225.00,3375.00,0.00,6605.00,490.00,6110.00,6605.00,4040.00,1235.00,330.00,295.00,190.00,165.00,220.00,135.00,6570.00,4670.00,1900.00,3375.00,25.90,41.40,27.10,950.00,1015.00,4540.00,2710.00,1390.00,280.00,65.00,95.00,6325.00,6390.00
"A1E","A1E",46.80,4455.00,885.00,1440.00,4045.00,1775.00,195.00,35.00,0.00,2.10,32400.00,36000.00,26245.00,24235.00,1355.00,650.00,26240.00,2180.00,1595.00,22465.00,1095.00,620.00,215.00,255.00,0.00,12875.00,7285.00,5590.00,0.00,12875.00,900.00,11975.00,12875.00,2845.00,4600.00,2225.00,1520.00,645.00,335.00,415.00,285.00,12840.00,9830.00,3010.00,5595.00,27.80,31.60,23.50,900.00,906.00,9610.00,5265.00,3535.00,490.00,120.00,205.00,12605.00,14250.00
"A1G","A1G",44.00,1235.00,120.00,155.00,880.00,150.00,0.00,5.00,5.00,2.20,36000.00,41200.00,5675.00,5510.00,125.00,45.00,5675.00,180.00,170.00,5320.00,90.00,40.00,35.00,15.00,0.00,2540.00,1805.00,740.00,0.00,2540.00,60.00,2485.00,2540.00,180.00,910.00,380.00,325.00,140.00,220.00,280.00,105.00,2530.00,2015.00,515.00,740.00,13.50,36.50,26.60,930.00,996.00,2225.00,980.00,1080.00,100.00,25.00,40.00,2830.00,2975.00
"A1H","A1H",37.60,1440.00,285.00,30.00,665.00,0.00,0.00,0.00,15.00,2.70,50400.00,60800.00,6555.00,6375.00,130.00,45.00,6550.00,230.00,215.00,6110.00,110.00,85.00,10.00,15.00,0.00,2455.00,2050.00,400.00,0.00,2455.00,145.00,2310.00,2455.00,10.00,20.00,25.00,135.00,295.00,710.00,765.00,490.00,2455.00,2115.00,335.00,405.00,0.00,33.30,15.20,1050.00,1120.00,2790.00,1085.00,1485.00,75.00,15.00,130.00,3115.00,3350.00
"A1K","A1K",43.20,3955.00,55.00,25.00,585.00,40.00,10.00,0.00,5.00,2.60,42400.00,49200.00,12275.00,11910.00,330.00,40.00,12280.00,470.00,490.00,11320.00,245.00,155.00,90.00,0.00,0.00,4680.00,4005.00,680.00,0.00,4680.00,45.00,4635.00,4680.00,330.00,875.00,705.00,785.00,530.00,520.00,580.00,355.00,4665.00,4115.00,555.00,675.00,3.70,27.60,16.70,970.00,1084.00,4905.00,1480.00,2575.00,640.00,55.00,150.00,6110.00,6235.00
"A1L","A1L",38.00,5780.00,125.00,65.00,2775.00,65.00,0.00,5.00,0.00,2.60,44400.00,52400.00,22795.00,22410.00,345.00,45.00,22795.00,460.00,640.00,21700.00,270.00,195.00,80.00,0.00,0.00,8810.00,6905.00,1905.00,0.00,8810.00,140.00,8670.00,8810.00,165.00,730.00,1030.00,1180.00,1155.00,1835.00,1870.00,845.00,8800.00,7360.00,1440.00,1910.00,4.50,30.50,16.90,1020.00,1090.00,9965.00,3420.00,5385.00,610.00,105.00,440.00,11220.00,11740.00
"A1M","A1M",42.80,2765.00,35.00,5.00,335.00,20.00,0.00,0.00,5.00,2.70,42400.00,49600.00,8415.00,8095.00,320.00,0.00,8415.00,375.00,485.00,7555.00,190.00,90.00,85.00,10.00,0.00,3170.00,2720.00,445.00,0.00,3170.00,20.00,3155.00,3170.00,275.00,640.00,520.00,465.00,275.00,355.00,435.00,200.00,3160.00,2735.00,425.00,450.00,0.00,27.80,15.90,950.00,1016.00,3450.00,715.00,2290.00,285.00,30.00,130.00,4230.00,4175.00
"A1N","A1N",46.00,4505.00,740.00,925.00,3415.00,335.00,0.00,10.00,0.00,2.30,36000.00,40800.00,22360.00,21745.00,505.00,105.00,22365.00,690.00,995.00,20680.00,370.00,170.00,185.00,10.00,0.00,9935.00,7050.00,2885.00,0.00,9935.00,425.00,9510.00,9935.00,675.00,3795.00,2205.00,1765.00,420.00,325.00,430.00,315.00,9920.00,8060.00,1855.00,2885.00,15.60,33.60,26.10,900.00,948.00,8975.00,4085.00,4210.00,330.00,95.00,250.00,10810.00,11670.00
"A1S","A1S",45.60,1740.00,60.00,30.00,495.00,20.00,0.00,5.00,85.00,2.50,36000.00,41200.00,6165.00,6095.00,60.00,0.00,6160.00,110.00,195.00,5860.00,30.00,10.00,20.00,0.00,0.00,2425.00,1960.00,460.00,0.00,2425.00,35.00,2390.00,2425.00,170.00,765.00,505.00,350.00,165.00,180.00,210.00,80.00,2405.00,1985.00,430.00,460.00,8.70,35.90,21.60,940.00,956.00,2545.00,650.00,1545.00,230.00,30.00,95.00,2995.00,3105.00
"A1V","A1V",45.20,3350.00,345.00,285.00,470.00,595.00,15.00,0.00,5.00,2.30,35200.00,39200.00,11550.00,11180.00,290.00,80.00,11555.00,395.00,420.00,10735.00,260.00,150.00,65.00,40.00,0.00,5070.00,3205.00,1870.00,0.00,5070.00,140.00,4930.00,5070.00,910.00,1715.00,525.00,465.00,215.00,430.00,515.00,295.00,5055.00,4175.00,885.00,1870.00,17.40,32.80,13.20,910.00,972.00,4740.00,4105.00,280.00,115.00,70.00,175.00,5775.00,6115.00
"A1W","A1W",44.40,3325.00,30.00,50.00,970.00,50.00,0.00,5.00,0.00,2.50,39600.00,46000.00,11040.00,10790.00,225.00,25.00,11045.00,320.00,490.00,10230.00,155.00,55.00,85.00,0.00,15.00,4395.00,3675.00,720.00,0.00,4395.00,85.00,4315.00,4395.00,320.00,925.00,820.00,900.00,430.00,470.00,320.00,215.00,4375.00,3760.00,610.00,725.00,6.20,28.20,20.40,950.00,1022.00,4345.00,1285.00,2525.00,385.00,30.00,115.00,5455.00,5725.00
"A1X","A1X",42.40,4850.00,95.00,55.00,1120.00,125.00,0.00,15.00,5.00,2.50,37600.00,42400.00,15680.00,15495.00,175.00,0.00,15680.00,245.00,460.00,14980.00,110.00,65.00,40.00,0.00,0.00,6305.00,5135.00,1175.00,0.00,6305.00,55.00,6245.00,6305.00,470.00,1255.00,975.00,805.00,540.00,865.00,825.00,585.00,6280.00,5255.00,1030.00,1170.00,8.10,34.60,26.00,970.00,1056.00,6425.00,1920.00,2830.00,1360.00,115.00,200.00,7815.00,8130.00
"A1Y","A1Y",52.40,2110.00,55.00,85.00,25.00,150.00,0.00,5.00,0.00,2.20,27600.00,30000.00,5230.00,5075.00,140.00,15.00,5230.00,175.00,200.00,4855.00,80.00,50.00,30.00,0.00,0.00,2440.00,1885.00,555.00,0.00,2440.00,50.00,2390.00,2440.00,445.00,805.00,335.00,265.00,160.00,120.00,195.00,115.00,2425.00,2000.00,420.00,560.00,16.10,46.40,11.20,830.00,816.00,1680.00,1045.00,285.00,75.00,35.00,240.00,2545.00,2895.00
"A2A","A2A",48.00,2575.00,220.00,440.00,435.00,405.00,0.00,15.00,0.00,2.20,32400.00,36400.00,9295.00,8975.00,220.00,95.00,9295.00,355.00,300.00,8640.00,145.00,80.00,65.00,0.00,0.00,4130.00,2755.00,1375.00,0.00,4130.00,75.00,4050.00,4130.00,1065.00,1295.00,500.00,325.00,270.00,215.00,335.00,120.00,4120.00,3370.00,745.00,1370.00,23.40,35.80,20.60,850.00,866.00,3385.00,2660.00,380.00,125.00,55.00,170.00,4435.00,4845.00
"A2B","A2B",50.80,1440.00,150.00,100.00,315.00,95.00,0.00,0.00,0.00,2.20,26600.00,28800.00,4450.00,4415.00,35.00,0.00,4455.00,45.00,105.00,4300.00,20.00,0.00,10.00,0.00,0.00,2055.00,1405.00,650.00,0.00,2055.00,15.00,2040.00,2055.00,570.00,660.00,215.00,205.00,85.00,165.00,95.00,65.00,2055.00,1615.00,445.00,655.00,26.00,39.70,28.10,840.00,826.00,1495.00,1230.00,135.00,60.00,15.00,50.00,2290.00,2450.00
"A2H","A2H",48.80,7635.00,430.00,350.00,1805.00,1030.00,5.00,60.00,15.00,2.20,32000.00,35600.00,24460.00,23705.00,600.00,155.00,24460.00,835.00,930.00,22700.00,450.00,295.00,115.00,40.00,0.00,11300.00,7680.00,3620.00,0.00,11300.00,235.00,11065.00,11300.00,2970.00,3745.00,1300.00,1290.00,465.00,630.00,535.00,370.00,11285.00,9265.00,2020.00,3615.00,27.70,33.20,15.40,860.00,909.00,9470.00,6110.00,2220.00,655.00,175.00,305.00,12230.00,13060.00
"A2N","A2N",51.60,2540.00,435.00,500.00,50.00,340.00,130.00,10.00,45.00,2.10,28200.00,30800.00,8430.00,8235.00,170.00,30.00,8435.00,235.00,250.00,7945.00,125.00,90.00,40.00,0.00,0.00,4075.00,2350.00,1725.00,0.00,4075.00,65.00,4015.00,4075.00,1320.00,1245.00,495.00,360.00,190.00,175.00,185.00,100.00,4075.00,3160.00,910.00,1725.00,23.50,40.90,19.50,750.00,764.00,2675.00,1985.00,385.00,100.00,70.00,140.00,4165.00,4450.00
"A2V","A2V",38.80,1570.00,515.00,335.00,15.00,310.00,95.00,0.00,245.00,2.40,51600.00,60400.00,7420.00,6865.00,460.00,100.00,7420.00,560.00,245.00,6615.00,420.00,350.00,70.00,0.00,0.00,3085.00,2395.00,690.00,0.00,3085.00,30.00,3060.00,3085.00,190.00,2380.00,100.00,70.00,25.00,100.00,195.00,25.00,3075.00,2910.00,160.00,690.00,13.00,14.60,5.90,1000.00,992.00,3990.00,2805.00,1055.00,110.00,10.00,0.00,3870.00,3575.00
"A5A","A5A",46.80,2545.00,105.00,75.00,580.00,240.00,5.00,0.00,20.00,2.30,30600.00,34000.00,8075.00,7845.00,175.00,50.00,8070.00,250.00,215.00,7615.00,145.00,80.00,40.00,25.00,0.00,3545.00,2485.00,1060.00,0.00,3545.00,60.00,3485.00,3545.00,335.00,915.00,560.00,500.00,280.00,320.00,445.00,175.00,3535.00,2930.00,605.00,1055.00,10.40,35.20,22.10,830.00,864.00,3255.00,2270.00,415.00,270.00,105.00,200.00,4065.00,4370.00
"A8A","A8A",52.40,2340.00,145.00,50.00,75.00,185.00,0.00,5.00,60.00,2.20,27600.00,30200.00,6285.00,6170.00,90.00,20.00,6280.00,115.00,125.00,6040.00,55.00,45.00,10.00,0.00,0.00,2790.00,2120.00,675.00,0.00,2790.00,50.00,2735.00,2790.00,445.00,945.00,345.00,225.00,160.00,245.00,260.00,150.00,2775.00,2330.00,450.00,670.00,22.40,35.80,23.50,820.00,802.00,2045.00,1325.00,305.00,200.00,105.00,110.00,3140.00,3335.00
"B0C","B0C",52.40,1075.00,10.00,0.00,10.00,10.00,0.00,10.00,120.00,2.20,31200.00,35200.00,2735.00,2630.00,85.00,15.00,2735.00,115.00,105.00,2515.00,45.00,35.00,10.00,0.00,0.00,1240.00,1135.00,110.00,0.00,1240.00,10.00,1230.00,1240.00,385.00,335.00,180.00,145.00,65.00,45.00,50.00,25.00,1235.00,1155.00,80.00,105.00,28.60,28.60,28.60,700.00,760.00,885.00,445.00,225.00,135.00,30.00,55.00,1365.00,1380.00
"B0E","B0E",54.00,9945.00,170.00,10.00,155.00,620.00,0.00,20.00,695.00,2.20,30000.00,32800.00,25425.00,24290.00,1010.00,135.00,25430.00,1290.00,1225.00,22920.00,595.00,405.00,130.00,60.00,0.00,11620.00,9315.00,1785.00,515.00,11620.00,130.00,11490.00,11620.00,3405.00,3325.00,1500.00,1340.00,595.00,535.00,425.00,505.00,10935.00,9785.00,1150.00,1775.00,21.70,23.70,23.80,665.00,694.00,8035.00,3785.00,2020.00,1215.00,530.00,495.00,12710.00,13210.00
"B0H","B0H",53.60,3780.00,25.00,5.00,15.00,125.00,0.00,10.00,460.00,2.20,29800.00,32800.00,9895.00,9605.00,270.00,0.00,9900.00,365.00,430.00,9105.00,150.00,85.00,65.00,0.00,0.00,4430.00,3845.00,465.00,115.00,4430.00,25.00,4400.00,4430.00,1165.00,1335.00,625.00,500.00,235.00,230.00,145.00,185.00,4275.00,3890.00,385.00,455.00,13.20,22.00,30.80,600.00,636.00,3295.00,1155.00,1135.00,620.00,170.00,215.00,4900.00,4895.00
"B0J","B0J",54.00,16590.00,370.00,205.00,220.00,685.00,5.00,40.00,655.00,2.20,30800.00,34000.00,40440.00,37855.00,2450.00,135.00,40440.00,2915.00,2935.00,34590.00,1465.00,805.00,560.00,95.00,0.00,18690.00,15685.00,2960.00,50.00,18690.00,265.00,18430.00,18690.00,6110.00,4625.00,2575.00,2150.00,920.00,925.00,720.00,670.00,18565.00,16170.00,2390.00,2955.00,12.00,27.20,18.50,910.00,949.00,13515.00,4575.00,3665.00,2480.00,1400.00,1390.00,20135.00,20900.00
"B0K","B0K",52.00,12815.00,445.00,495.00,275.00,890.00,5.00,25.00,945.00,2.20,30200.00,33200.00,34640.00,33245.00,1255.00,145.00,34645.00,1675.00,2260.00,30705.00,705.00,370.00,295.00,35.00,0.00,15880.00,12600.00,3145.00,140.00,15880.00,215.00,15665.00,15880.00,5690.00,4265.00,2015.00,1555.00,600.00,675.00,675.00,400.00,15520.00,13625.00,1890.00,3140.00,17.20,28.20,14.90,750.00,749.00,11655.00,4945.00,4160.00,1260.00,540.00,745.00,17170.00,17965.00
"B0L","B0L",54.40,970.00,15.00,0.00,5.00,45.00,0.00,0.00,45.00,2.20,28000.00,30200.00,2280.00,2255.00,15.00,0.00,2275.00,30.00,120.00,2125.00,0.00,0.00,0.00,0.00,0.00,1065.00,920.00,145.00,0.00,1065.00,20.00,1045.00,1065.00,505.00,255.00,125.00,80.00,35.00,25.00,15.00,15.00,1055.00,930.00,130.00,140.00,17.90,21.40,32.10,540.00,540.00,750.00,195.00,240.00,225.00,25.00,65.00,1155.00,1180.00
"B0M","B0M",51.20,6765.00,105.00,100.00,125.00,415.00,0.00,10.00,320.00,2.20,28800.00,31200.00,16830.00,16250.00,545.00,30.00,16830.00,660.00,860.00,15305.00,295.00,150.00,110.00,35.00,0.00,7810.00,6490.00,1320.00,0.00,7810.00,115.00,7690.00,7810.00,3120.00,2045.00,920.00,825.00,275.00,235.00,195.00,195.00,7640.00,6805.00,835.00,1315.00,22.40,22.80,21.10,650.00,672.00,5620.00,2100.00,1890.00,850.00,365.00,420.00,8855.00,8590.00
"B0N","B0N",48.00,14330.00,335.00,110.00,230.00,1040.00,10.00,30.00,1325.00,2.30,31600.00,35200.00,39690.00,38270.00,1290.00,120.00,39690.00,1715.00,2685.00,35290.00,720.00,360.00,310.00,55.00,0.00,17360.00,14160.00,2825.00,375.00,17360.00,165.00,17190.00,17360.00,4640.00,4960.00,2620.00,1945.00,745.00,925.00,700.00,820.00,15990.00,13795.00,2200.00,2725.00,11.60,32.70,19.70,840.00,881.00,14700.00,3855.00,3440.00,3490.00,2335.00,1580.00,19930.00,20560.00
"B0P","B0P",47.60,14500.00,1145.00,355.00,240.00,805.00,5.00,35.00,560.00,2.30,30800.00,34000.00,40960.00,39150.00,1715.00,90.00,40955.00,2225.00,3245.00,35490.00,990.00,540.00,395.00,35.00,20.00,17725.00,13430.00,4210.00,85.00,17725.00,165.00,17560.00,17725.00,4795.00,4440.00,2655.00,2650.00,820.00,870.00,790.00,700.00,17075.00,14680.00,2395.00,4130.00,12.30,28.60,14.70,850.00,889.00,15125.00,6435.00,5395.00,2045.00,600.00,650.00,20485.00,21055.00
"B0R","B0R",56.00,2645.00,25.00,10.00,10.00,50.00,0.00,5.00,75.00,2.10,27800.00,30000.00,5995.00,5725.00,265.00,0.00,5995.00,330.00,320.00,5345.00,120.00,70.00,45.00,0.00,0.00,2795.00,2465.00,330.00,0.00,2795.00,10.00,2785.00,2795.00,1205.00,740.00,340.00,220.00,105.00,75.00,45.00,55.00,2755.00,2430.00,325.00,330.00,7.60,33.30,31.30,750.00,748.00,1890.00,400.00,705.00,420.00,150.00,215.00,3100.00,2995.00
"B0S","B0S",55.20,7075.00,225.00,295.00,75.00,660.00,0.00,10.00,110.00,2.10,26400.00,28200.00,17490.00,16110.00,1275.00,105.00,17495.00,1575.00,1495.00,14425.00,710.00,400.00,280.00,25.00,0.00,8415.00,6575.00,1785.00,55.00,8415.00,220.00,8195.00,8415.00,3845.00,1915.00,1035.00,690.00,280.00,235.00,215.00,195.00,8245.00,7040.00,1205.00,1780.00,19.70,30.30,27.00,715.00,758.00,5585.00,2340.00,1725.00,835.00,295.00,395.00,8745.00,9125.00
"B0T","B0T",54.80,5880.00,120.00,55.00,80.00,455.00,5.00,15.00,350.00,2.10,27600.00,29800.00,14395.00,13730.00,650.00,20.00,14400.00,750.00,750.00,12900.00,330.00,155.00,155.00,20.00,0.00,6995.00,5530.00,1445.00,20.00,6995.00,95.00,6895.00,6995.00,2935.00,2025.00,865.00,525.00,195.00,150.00,150.00,155.00,6955.00,6020.00,935.00,1440.00,16.00,32.30,20.90,745.00,757.00,4655.00,2355.00,1185.00,605.00,240.00,270.00,7190.00,7540.00
"B0V","B0V",54.00,2135.00,50.00,55.00,50.00,410.00,0.00,5.00,55.00,2.00,25200.00,26600.00,5480.00,5120.00,310.00,45.00,5480.00,380.00,345.00,4750.00,165.00,110.00,30.00,20.00,0.00,2755.00,1750.00,1005.00,0.00,2755.00,50.00,2705.00,2755.00,1190.00,730.00,350.00,185.00,70.00,85.00,80.00,60.00,2740.00,2315.00,425.00,1000.00,12.00,26.50,23.50,740.00,758.00,1900.00,1200.00,350.00,200.00,65.00,85.00,2665.00,2990.00
"B0W","B0W",52.80,11040.00,70.00,55.00,115.00,375.00,0.00,5.00,230.00,2.20,29200.00,32000.00,25575.00,24885.00,625.00,70.00,25580.00,780.00,1095.00,23705.00,315.00,150.00,160.00,0.00,0.00,11890.00,10375.00,1520.00,0.00,11890.00,85.00,11810.00,11890.00,4135.00,3635.00,1750.00,1280.00,440.00,290.00,150.00,205.00,11865.00,10855.00,1010.00,1520.00,15.10,18.80,17.60,675.00,677.00,9960.00,4460.00,3430.00,1305.00,385.00,370.00,12785.00,13100.00
"B1A","B1A",50.00,4740.00,930.00,125.00,315.00,630.00,5.00,10.00,10.00,2.20,27400.00,29400.00,14710.00,14255.00,125.00,330.00,14710.00,485.00,480.00,13750.00,30.00,10.00,20.00,0.00,0.00,6780.00,4635.00,2145.00,0.00,6780.00,90.00,6685.00,6780.00,2940.00,2075.00,605.00,520.00,155.00,200.00,190.00,95.00,6780.00,5515.00,1260.00,2145.00,28.20,31.70,21.70,800.00,799.00,4360.00,1800.00,1630.00,725.00,90.00,110.00,7025.00,7960.00
"B1B","B1B",54.40,490.00,5.00,0.00,0.00,20.00,0.00,0.00,60.00,2.20,30400.00,33600.00,1140.00,1110.00,30.00,0.00,1135.00,30.00,50.00,1055.00,0.00,0.00,0.00,0.00,0.00,550.00,485.00,65.00,0.00,550.00,0.00,545.00,550.00,170.00,160.00,100.00,40.00,30.00,25.00,10.00,20.00,540.00,515.00,30.00,70.00,42.90,0.00,28.60,500.00,700.00,335.00,70.00,135.00,110.00,15.00,0.00,600.00,635.00
"B1C","B1C",55.60,705.00,5.00,5.00,15.00,10.00,0.00,0.00,45.00,2.20,32800.00,37200.00,1870.00,1845.00,30.00,0.00,1875.00,45.00,80.00,1750.00,15.00,0.00,10.00,0.00,0.00,810.00,720.00,90.00,0.00,810.00,0.00,810.00,810.00,285.00,295.00,90.00,80.00,15.00,15.00,15.00,10.00,810.00,755.00,50.00,90.00,16.70,27.80,22.20,970.00,800.00,585.00,155.00,155.00,195.00,45.00,40.00,830.00,865.00
