"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37","COL38","COL39","COL40","COL41","COL42","COL43","COL44","COL45","COL46","COL47","COL48","COL49","COL50","COL51","COL52","COL53","COL54","COL55","COL56","COL57","COL58","COL59"
"N2G","N2G",38.00,1750.00,120.00,290.00,405.00,2050.00,3170.00,15.00,0.00,1.80,31800.00,34400.00,14270.00,9980.00,3450.00,840.00,14265.00,4400.00,2675.00,7190.00,2740.00,960.00,615.00,1135.00,30.00,7805.00,2415.00,5395.00,0.00,7805.00,1735.00,6075.00,7805.00,3245.00,1500.00,670.00,600.00,375.00,395.00,290.00,730.00,7750.00,5225.00,2530.00,5395.00,15.80,38.50,21.50,1260.00,1230.00,4550.00,1570.00,1815.00,725.00,185.00,260.00,7400.00,7185.00
"N2H","N2H",38.40,4610.00,135.00,250.00,825.00,2560.00,2370.00,25.00,0.00,2.10,35600.00,39600.00,22020.00,17660.00,3770.00,590.00,22020.00,4605.00,4255.00,13160.00,2700.00,1025.00,705.00,935.00,40.00,10730.00,5295.00,5435.00,0.00,10730.00,1115.00,9610.00,10730.00,6310.00,2210.00,650.00,460.00,210.00,110.00,230.00,545.00,10685.00,7875.00,2810.00,5435.00,5.20,37.60,20.20,1250.00,1251.00,7755.00,2825.00,3230.00,920.00,375.00,410.00,11265.00,11190.00
"N2J","N2J",36.80,3320.00,295.00,585.00,270.00,1510.00,3305.00,10.00,175.00,2.20,32800.00,35600.00,20440.00,14150.00,4435.00,1850.00,20440.00,6535.00,3615.00,10290.00,3295.00,1825.00,710.00,700.00,55.00,9430.00,4980.00,4450.00,0.00,9430.00,2505.00,6925.00,9430.00,2355.00,3065.00,1205.00,945.00,485.00,425.00,440.00,510.00,9330.00,6770.00,2560.00,4445.00,8.70,39.80,18.30,1270.00,1312.00,6045.00,2415.00,2370.00,740.00,205.00,315.00,10460.00,10440.00
"N2K","N2K",40.40,7180.00,650.00,1345.00,190.00,805.00,405.00,0.00,0.00,2.80,43200.00,49200.00,29185.00,21340.00,7355.00,490.00,29185.00,8100.00,6355.00,14730.00,6065.00,3425.00,1470.00,1085.00,85.00,10550.00,8605.00,1945.00,0.00,10550.00,990.00,9560.00,10550.00,600.00,1705.00,2015.00,2600.00,1725.00,415.00,540.00,950.00,10520.00,9020.00,1500.00,1945.00,6.40,28.40,12.30,1580.00,1612.00,9510.00,3770.00,4050.00,1040.00,215.00,440.00,14525.00,14860.00
"N2L","N2L",29.80,4700.00,405.00,1480.00,525.00,2665.00,6415.00,5.00,0.00,2.20,28400.00,30000.00,35995.00,20515.00,8775.00,6705.00,36000.00,15965.00,6020.00,14015.00,7375.00,4245.00,1410.00,1665.00,55.00,16240.00,5965.00,10275.00,0.00,16240.00,5020.00,11220.00,16240.00,1995.00,5870.00,1535.00,1095.00,705.00,545.00,1500.00,3000.00,15960.00,10530.00,5430.00,10275.00,4.90,44.50,14.40,1350.00,1404.00,10095.00,3740.00,3800.00,1505.00,440.00,610.00,19870.00,18085.00
"N2M","N2M",36.40,5535.00,895.00,1930.00,480.00,4075.00,2580.00,5.00,0.00,2.30,33600.00,36400.00,36365.00,24010.00,11160.00,1195.00,36365.00,12605.00,7115.00,16640.00,9550.00,2475.00,2035.00,4970.00,65.00,15530.00,7200.00,8330.00,0.00,15530.00,2015.00,13515.00,15530.00,4245.00,6515.00,1780.00,985.00,385.00,320.00,385.00,905.00,15470.00,11530.00,3945.00,8325.00,11.40,35.20,22.00,1200.00,1247.00,12305.00,3595.00,5185.00,2025.00,615.00,880.00,18000.00,18495.00
"N2N","N2N",39.20,6425.00,790.00,950.00,260.00,475.00,115.00,0.00,0.00,2.90,38000.00,42400.00,26150.00,18015.00,7670.00,465.00,26155.00,8375.00,5790.00,11990.00,6195.00,2445.00,1620.00,2060.00,70.00,9030.00,7450.00,1580.00,0.00,9030.00,885.00,8145.00,9030.00,175.00,2665.00,2365.00,1835.00,590.00,740.00,435.00,230.00,9000.00,7725.00,1275.00,1575.00,12.10,31.70,15.10,1590.00,1600.00,8920.00,2535.00,4285.00,1185.00,380.00,525.00,13065.00,13530.00
"N2P","N2P",36.00,5055.00,280.00,1775.00,205.00,315.00,845.00,0.00,0.00,2.90,38400.00,42800.00,24835.00,15575.00,7740.00,1525.00,24840.00,9465.00,5700.00,9670.00,6660.00,3530.00,1925.00,1140.00,65.00,8470.00,6435.00,2035.00,0.00,8470.00,1990.00,6485.00,8470.00,250.00,1735.00,1220.00,900.00,1495.00,855.00,690.00,1330.00,8420.00,6565.00,1855.00,2040.00,2.70,38.90,15.70,1560.00,1604.00,8915.00,2105.00,4170.00,1335.00,530.00,775.00,12460.00,12575.00
"N2R","N2R",32.80,3690.00,190.00,1420.00,65.00,280.00,15.00,15.00,0.00,3.20,40000.00,44800.00,18310.00,10405.00,7110.00,795.00,18310.00,8010.00,4690.00,5610.00,6700.00,3405.00,1780.00,1475.00,45.00,5660.00,4525.00,1135.00,0.00,5660.00,905.00,4755.00,5660.00,50.00,95.00,370.00,205.00,565.00,1095.00,1350.00,1925.00,5640.00,4265.00,1375.00,1135.00,0.00,40.90,11.30,2020.00,2008.00,6430.00,1510.00,3040.00,870.00,440.00,575.00,9310.00,9135.00
"N2T","N2T",41.20,5225.00,320.00,1285.00,60.00,70.00,35.00,0.00,0.00,2.90,42000.00,47200.00,20440.00,13790.00,6295.00,360.00,20435.00,6855.00,4855.00,8725.00,5345.00,3370.00,1215.00,740.00,20.00,7025.00,5960.00,1060.00,0.00,7025.00,750.00,6275.00,7025.00,35.00,395.00,2575.00,2260.00,820.00,440.00,330.00,165.00,7025.00,5935.00,1080.00,1065.00,19.70,32.40,12.80,1620.00,1624.00,5625.00,1925.00,2540.00,680.00,160.00,310.00,10145.00,10490.00
