"COL0","COL1","COL2"
"E9C","E9C",2149.00
"E9E","E9E",3870.00
"E9G","E9G",5297.00
"E9H","E9H",2931.00
"G0A","G0A",83411.00
"G0C","G0C",45955.00
"G0E","G0E",4630.00
"G0G","G0G",16315.00
"G0H","G0H",10538.00
"G0J","G0J",29007.00
"G0K","G0K",11722.00
"G0L","G0L",60937.00
"G0M","G0M",34401.00
"G0N","G0N",19994.00
"G0P","G0P",6786.00
"G0R","G0R",84338.00
"G0S","G0S",72494.00
"G0T","G0T",13560.00
"G0V","G0V",18374.00
"G0W","G0W",36541.00
"G0X","G0X",60486.00
"G0Y","G0Y",9320.00
"G0Z","G0Z",8974.00
"G1B","G1B",16698.00
"G1C","G1C",36215.00
"G1E","G1E",27753.00
"G1G","G1G",24975.00
"G1H","G1H",29618.00
"G1J","G1J",23325.00
"G1K","G1K",18911.00
"G1L","G1L",22024.00
"G1M","G1M",20770.00
"G1N","G1N",8400.00
"G1P","G1P",16538.00
"G1R","G1R",16423.00
"G1S","G1S",25912.00
"G1T","G1T",6797.00
"G1V","G1V",23629.00
"G1W","G1W",22499.00
"G1X","G1X",26746.00
"G1Y","G1Y",12738.00
"G2A","G2A",15350.00
"G2B","G2B",24936.00
"G2C","G2C",12283.00
"G2E","G2E",21054.00
"G2G","G2G",10790.00
"G2J","G2J",3223.00
"G2K","G2K",12845.00
"G2L","G2L",14609.00
"G2M","G2M",5625.00
"G2N","G2N",8486.00
"G3A","G3A",20233.00
"G3B","G3B",8315.00
"G3C","G3C",10434.00
"G3E","G3E",16115.00
"G3G","G3G",10026.00
"G3H","G3H",10142.00
"G3J","G3J",10635.00
"G3K","G3K",20396.00
"G3L","G3L",11103.00
"G3M","G3M",7436.00
"G3N","G3N",11114.00
"G3S","G3S",6647.00
"G3Z","G3Z",7371.00
"G4A","G4A",3063.00
"G4R","G4R",20327.00
"G4S","G4S",4931.00
"G4T","G4T",12654.00
"G4V","G4V",6288.00
"G4W","G4W",13988.00
"G4X","G4X",15063.00
"G4Z","G4Z",9389.00
"G5A","G5A",8283.00
"G5B","G5B",5976.00
"G5C","G5C",11390.00
"G5H","G5H",6974.00
"G5J","G5J",6010.00
"G5L","G5L",28733.00
"G5M","G5M",8829.00
"G5N","G5N",8375.00
"G5R","G5R",20118.00
"G5T","G5T",2884.00
"G5V","G5V",10999.00
"G5X","G5X",6181.00
"G5Y","G5Y",23088.00
"G5Z","G5Z",7603.00
"G6A","G6A",2546.00
"G6B","G6B",8404.00
"G6C","G6C",7959.00
"G6E","G6E",13110.00
"G6G","G6G",20356.00
"G6H","G6H",7097.00
"G6J","G6J",10627.00
"G6K","G6K",8237.00
"G6L","G6L",15293.00
"G6P","G6P",29578.00
"G6R","G6R",4702.00
"G6S","G6S",5384.00
"G6T","G6T",11201.00
"G6V","G6V",32034.00
"G6W","G6W",25242.00
"G6X","G6X",9307.00
"G6Y","G6Y",7232.00
"G6Z","G6Z",23582.00
"G7A","G7A",25429.00
"G7B","G7B",17614.00
"G7G","G7G",16414.00
"G7H","G7H",28684.00
"G7J","G7J",14443.00
"G7K","G7K",762.00
"G7N","G7N",6389.00
"G7P","G7P",7418.00
"G7S","G7S",19807.00
"G7T","G7T",1640.00
"G7X","G7X",25550.00
"G7Y","G7Y",628.00
"G7Z","G7Z",2638.00
"G8A","G8A",6033.00
"G8B","G8B",22060.00
"G8C","G8C",4412.00
"G8E","G8E",3837.00
"G8G","G8G",4121.00
"G8H","G8H",10040.00
"G8J","G8J",4259.00
"G8K","G8K",10089.00
"G8L","G8L",14282.00
"G8M","G8M",5173.00
"G8N","G8N",2511.00
"G8P","G8P",7310.00
"G8T","G8T",27831.00
"G8V","G8V",9956.00
"G8W","G8W",11010.00
"G8Y","G8Y",33298.00
"G8Z","G8Z",13972.00
"G9A","G9A",20399.00
"G9B","G9B",18680.00
"G9C","G9C",4017.00
"G9H","G9H",13559.00
"G9N","G9N",16125.00
"G9P","G9P",11567.00
"G9R","G9R",2324.00
"G9T","G9T",15940.00
"G9X","G9X",10610.00
"H1A","H1A",33158.00
"H1B","H1B",20651.00
"H1C","H1C",15085.00
"H1E","H1E",42568.00
"H1G","H1G",50989.00
"H1H","H1H",37847.00
"H1J","H1J",10587.00
"H1K","H1K",37304.00
"H1L","H1L",34612.00
"H1M","H1M",29352.00
"H1N","H1N",24444.00
"H1P","H1P",18118.00
"H1R","H1R",31259.00
"H1S","H1S",26715.00
"H1T","H1T",31318.00
"H1V","H1V",21908.00
"H1W","H1W",30004.00
"H1X","H1X",30178.00
"H1Y","H1Y",29286.00
"H1Z","H1Z",36487.00
"H2A","H2A",19454.00
